case,pattern,length,sequence,seed,position,method,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative,within_2pct
weak_65536,weak,65536,0,1,65536,fp32_checkpoint,True,0.5054314068417419,3.642361500936448e-08,7.206440778376334e-08,2.347826748572146e-07,1.1375236954047629e-07,9.092390857048692e-08,True
weak_65536,weak,65536,0,2,65536,fp32_checkpoint,True,0.5031409907108301,3.457249884647382e-08,6.871334175661241e-08,2.414603983424968e-07,1.0753366511462307e-07,8.702356383292468e-08,True
near_identity_256,near_identity,256,0,0,16,official,True,0.09877471125461026,0.00016454717356064572,0.0016658836201150177,0.0009761944522894694,0.0004873419724908545,0.002007309120174808,True
near_identity_256,near_identity,256,0,1,16,official,True,0.10009288887561958,0.0001652339920274471,0.0016508065046736246,0.0009706911723629252,0.0004801027390896223,0.001999707778185758,True
near_identity_256,near_identity,256,0,2,16,official,True,0.09932796895887194,0.00016860822562830456,0.0016974899154347856,0.001001761978875526,0.0004899966220168442,0.002022230783376408,True
near_identity_256,near_identity,256,0,0,16,bf16_checkpoint,True,0.09877471125461026,0.00016262615195176828,0.001646435103541523,0.0009761944522894694,0.0004788277076373518,0.002000258037887831,True
near_identity_256,near_identity,256,0,1,16,bf16_checkpoint,True,0.10009288887561958,0.00016325178481566032,0.0016310028279683797,0.0009706911723629252,0.00047394151538303233,0.0019924174362476294,True
near_identity_256,near_identity,256,0,2,16,bf16_checkpoint,True,0.09932796895887194,0.00016665978278594242,0.001677873659683408,0.000965944912642791,0.0004813861838028427,0.002005533630863838,True
near_identity_256,near_identity,256,0,0,16,fp32_checkpoint,True,0.09877471125461026,2.4636016985156705e-09,2.4941623895667758e-08,1.4830110084407266e-08,7.265774036591122e-09,3.135462917823675e-08,True
near_identity_256,near_identity,256,0,1,16,fp32_checkpoint,True,0.10009288887561958,2.541679641356846e-09,2.5393208947293588e-08,1.489827550216205e-08,7.302640044060116e-09,3.196674574951991e-08,True
near_identity_256,near_identity,256,0,2,16,fp32_checkpoint,True,0.09932796895887194,2.5433508611727866e-09,2.5605586098573047e-08,1.4874764087124959e-08,7.3365347277865034e-09,3.29222886388045e-08,True
near_identity_256,near_identity,256,0,0,64,official,True,0.0986889005301542,0.000331524512844235,0.003359288745373532,0.0031136592571415767,0.001179028940175333,0.004496168018162605,True
near_identity_256,near_identity,256,0,1,64,official,True,0.09997480614879992,0.0003345170930892695,0.0033460139206610007,0.00274708133318885,0.0012079763854944082,0.004218273049719502,True
near_identity_256,near_identity,256,0,2,64,official,True,0.09919103035484611,0.00033217570251012026,0.0033488481904240183,0.0029765484441411916,0.0011775744917812247,0.00425724514800065,True
near_identity_256,near_identity,256,0,0,64,bf16_checkpoint,True,0.0986889005301542,0.00032870546132340747,0.003330723714192886,0.0031136592571415767,0.0011674722084808547,0.004434632841938749,True
near_identity_256,near_identity,256,0,1,64,bf16_checkpoint,True,0.09997480614879992,0.0003293706385953739,0.003294536406553739,0.00274708133318885,0.0012063948046285367,0.004055625972522031,True
near_identity_256,near_identity,256,0,2,64,bf16_checkpoint,True,0.09919103035484611,0.00033125876474406215,0.0033396040303141994,0.0029765484441411916,0.0011807744117402646,0.004183261982177551,True
near_identity_256,near_identity,256,0,0,64,fp32_checkpoint,True,0.0986889005301542,5.004271329394311e-09,5.0707539576502484e-08,4.927984204039504e-08,1.746325131973814e-08,6.804679855373324e-08,True
near_identity_256,near_identity,256,0,1,64,fp32_checkpoint,True,0.09997480614879992,5.0516419706681155e-09,5.05291499455311e-08,5.559283583478347e-08,1.7768711079724222e-08,7.101966886331998e-08,True
near_identity_256,near_identity,256,0,2,64,fp32_checkpoint,True,0.09919103035484611,5.035164875548467e-09,5.076230035655101e-08,4.856771701478024e-08,1.8526604709800945e-08,6.46239155586476e-08,True
near_identity_256,near_identity,256,0,0,256,official,True,0.09846385292638699,0.0006553601392988241,0.0066558449605743225,0.007089974050686898,0.002346454313764232,0.009530308159435218,True
near_identity_256,near_identity,256,0,1,256,official,True,0.09960518478723282,0.0006733946561658385,0.006760638591297034,0.007877578516656825,0.002410289851096377,0.009286979614926716,True
near_identity_256,near_identity,256,0,2,256,official,True,0.09909643226377218,0.0006483657563923317,0.006542775976702465,0.005396884761684595,0.002307175705805222,0.008428508515777413,True
near_identity_256,near_identity,256,0,0,256,bf16_checkpoint,True,0.09846385292638699,0.0006502546125071277,0.006603993172938982,0.007089974050686898,0.0023199336669251455,0.009551612547207005,True
near_identity_256,near_identity,256,0,1,256,bf16_checkpoint,True,0.09960518478723282,0.00066027530021339,0.0066289250065025,0.007877578516656825,0.0023941448097580973,0.009251971041277398,True
near_identity_256,near_identity,256,0,2,256,bf16_checkpoint,True,0.09909643226377218,0.0006424015569447383,0.006482590162628775,0.0063446031300798955,0.0022713807784792224,0.008709238733097027,True
near_identity_256,near_identity,256,0,0,256,fp32_checkpoint,True,0.09846385292638699,9.645695473810672e-09,9.796179193822463e-08,7.681298608286369e-08,3.492939811750029e-08,1.282436769354956e-07,True
near_identity_256,near_identity,256,0,1,256,fp32_checkpoint,True,0.09960518478723282,9.816250055506906e-09,9.855159725345074e-08,1.057346538657633e-07,3.5532341259858495e-08,1.3105643536611252e-07,True
near_identity_256,near_identity,256,0,2,256,fp32_checkpoint,True,0.09909643226377218,9.81146659834645e-09,9.900928191068026e-08,1.2433946477985458e-07,3.500842609305277e-08,1.446716805350817e-07,True
near_identity_8192,near_identity,8192,0,0,16,official,True,0.09930181011725978,0.00016574645331642897,0.0016691181471990143,0.00097768969805756,0.00048654838528061715,0.0020513571438537026,True
near_identity_8192,near_identity,8192,0,1,16,official,True,0.10095442909785264,0.00016839878853128809,0.0016680673650094468,0.001012476290752018,0.0004887142008334431,0.002010713342350595,True
near_identity_8192,near_identity,8192,0,2,16,official,True,0.09939988355922609,0.00016576056473064136,0.001667613268700412,0.001001185188937992,0.0004858569860579812,0.0020099305003234316,True
near_identity_8192,near_identity,8192,0,0,16,bf16_checkpoint,True,0.09930181011725978,0.00016388205502170671,0.001650343078622513,0.0009756972082930471,0.0004759479003075426,0.001995356394392176,True
near_identity_8192,near_identity,8192,0,1,16,bf16_checkpoint,True,0.10095442909785264,0.0001664507903544708,0.0016487715481322185,0.0009762593375025053,0.0004784285869665736,0.002002991631593747,True
near_identity_8192,near_identity,8192,0,2,16,bf16_checkpoint,True,0.09939988355922609,0.00016385228569034776,0.0016484152679386045,0.000972957590971435,0.0004780898705982179,0.0019995428963042665,True
near_identity_8192,near_identity,8192,0,0,16,fp32_checkpoint,True,0.09930181011725978,2.4981836026949487e-09,2.51574830282045e-08,1.4890667088263143e-08,7.309598978322285e-09,3.229258510097408e-08,True
near_identity_8192,near_identity,8192,0,1,16,fp32_checkpoint,True,0.10095442909785264,2.5136942049306958e-09,2.4899295923849305e-08,1.4833726691421134e-08,7.275969679809702e-09,3.18322281671887e-08,True
near_identity_8192,near_identity,8192,0,2,16,fp32_checkpoint,True,0.09939988355922609,2.521319887647227e-09,2.5365420937791463e-08,1.4886075372366747e-08,7.292572516415241e-09,3.1757731306914496e-08,True
near_identity_8192,near_identity,8192,0,0,64,official,True,0.09921839236033057,0.0003288725634055134,0.0033146330592734234,0.0027328930822270725,0.0011424515314187441,0.004338228303343258,True
near_identity_8192,near_identity,8192,0,1,64,official,True,0.10094420866843212,0.000327528269449243,0.0032446464613444395,0.002540412375672152,0.00115238504790169,0.004075560632042379,True
near_identity_8192,near_identity,8192,0,2,64,official,True,0.09934493524854132,0.0003320154784767376,0.003342047358993196,0.00297606709162912,0.0011340805912745738,0.004492719125501744,True
near_identity_8192,near_identity,8192,0,0,64,bf16_checkpoint,True,0.09921839236033057,0.000325433714301365,0.003279973667780165,0.0027328930822270725,0.0011459955182149646,0.004156223158465071,True
near_identity_8192,near_identity,8192,0,1,64,bf16_checkpoint,True,0.10094420866843212,0.00032451511015328064,0.0032147967123027726,0.002540412375672152,0.0011539582636398572,0.004095291165361883,True
near_identity_8192,near_identity,8192,0,2,64,bf16_checkpoint,True,0.09934493524854132,0.00032922737048589394,0.0033139824356645093,0.00297606709162912,0.0011300929572828858,0.004719646110510382,True
near_identity_8192,near_identity,8192,0,0,64,fp32_checkpoint,True,0.09921839236033057,4.936534082724386e-09,4.975422364027446e-08,4.9535500756814344e-08,1.767285618320402e-08,6.458498206164553e-08,True
near_identity_8192,near_identity,8192,0,1,64,fp32_checkpoint,True,0.10094420866843212,5.08848806083547e-09,5.040891526079963e-08,4.5891047073531865e-08,1.8268526018327957e-08,6.340989465163703e-08,True
near_identity_8192,near_identity,8192,0,2,64,fp32_checkpoint,True,0.09934493524854132,5.017297654436331e-09,5.050380919655388e-08,4.2272276845611856e-08,1.8093154903198185e-08,6.847904123883213e-08,True
near_identity_8192,near_identity,8192,0,0,256,official,True,0.09909479864148157,0.0006397527456905453,0.006455966957510337,0.005962067000603033,0.0023145884353854497,0.008464728382361657,True
near_identity_8192,near_identity,8192,0,1,256,official,True,0.10089978208817767,0.0006668730708534159,0.006609261755100983,0.005481600740687098,0.002391625689151978,0.008637705623543027,True
near_identity_8192,near_identity,8192,0,2,256,official,True,0.09914108296322362,0.0006556860969605427,0.0066136668812037235,0.006930384035060133,0.0023257737983211316,0.009113512347054455,True
near_identity_8192,near_identity,8192,0,0,256,bf16_checkpoint,True,0.09909479864148157,0.0006305265143614955,0.006362861855572246,0.005204530894586057,0.0022854909594260705,0.008137040121231951,True
near_identity_8192,near_identity,8192,0,1,256,bf16_checkpoint,True,0.10089978208817767,0.0006601166390497249,0.006542299947415547,0.006322928669519723,0.002372695472623866,0.008910492856955774,True
near_identity_8192,near_identity,8192,0,2,256,bf16_checkpoint,True,0.09914108296322362,0.0006431683341636302,0.006487404766419724,0.006930384035060133,0.0023149381990055346,0.009416206084659231,True
near_identity_8192,near_identity,8192,0,0,256,fp32_checkpoint,True,0.09909479864148157,9.925566097283328e-09,1.0016233176065446e-07,1.0402853101165732e-07,3.5610470738300926e-08,1.3299583412867033e-07,True
near_identity_8192,near_identity,8192,0,1,256,fp32_checkpoint,True,0.10089978208817767,9.903082497496514e-09,9.814770946524025e-08,8.10598656530992e-08,3.52292943195387e-08,1.278031497368789e-07,True
near_identity_8192,near_identity,8192,0,2,256,fp32_checkpoint,True,0.09914108296322362,9.797296486774532e-09,9.882176181602575e-08,9.942232809256879e-08,3.513894796108863e-08,1.2907719497103275e-07,True
near_identity_8192,near_identity,8192,0,0,1024,official,True,0.09826942425499105,0.001218322551576917,0.012397778462765737,0.011299740879264164,0.0042410904950206324,0.01653121383608799,True
near_identity_8192,near_identity,8192,0,1,1024,official,True,0.09954689398455835,0.0012221604108967827,0.012277232990176102,0.01183903978978132,0.00419974546483909,0.018081552356360605,True
near_identity_8192,near_identity,8192,0,2,1024,official,True,0.09832568495134598,0.001232264375244231,0.012532476899133591,0.009587325827602272,0.004369451811261878,0.01655626238564107,True
near_identity_8192,near_identity,8192,0,0,1024,bf16_checkpoint,True,0.09826942425499105,0.0011955019311669286,0.012165553428549875,0.011299740879264164,0.004267011584339829,0.015138122149171807,True
near_identity_8192,near_identity,8192,0,1,1024,bf16_checkpoint,True,0.09954689398455835,0.001196091794390739,0.012015360264040745,0.010090560704259566,0.004162848305861743,0.01694571423316457,True
near_identity_8192,near_identity,8192,0,2,1024,bf16_checkpoint,True,0.09832568495134598,0.0012109249700576017,0.012315449118475989,0.011173520381933255,0.004270617795009333,0.01728253656061004,True
near_identity_8192,near_identity,8192,0,0,1024,fp32_checkpoint,True,0.09826942425499105,1.8688577837853354e-08,1.901769342757106e-07,1.3516175245698037e-07,6.588535649748595e-08,2.3334558496922148e-07,True
near_identity_8192,near_identity,8192,0,1,1024,fp32_checkpoint,True,0.09954689398455835,1.8858685482062867e-08,1.8944524261086655e-07,1.9690274777328653e-07,6.567377273447584e-08,2.583293932231396e-07,True
near_identity_8192,near_identity,8192,0,2,1024,fp32_checkpoint,True,0.09832568495134598,1.868805723770624e-08,1.900628228214587e-07,2.2115248043963476e-07,6.516096576841823e-08,3.339207773215465e-07,True
near_identity_8192,near_identity,8192,0,0,4096,official,True,0.09567599079983412,0.0019821836200674984,0.020717670164654676,0.014834057334004502,0.006690627751690374,0.025422451133104196,False
near_identity_8192,near_identity,8192,0,1,4096,official,True,0.09717641127593982,0.0020219988921732685,0.020807507353113184,0.02025639264731849,0.006800302023148038,0.030884458779527623,False
near_identity_8192,near_identity,8192,0,2,4096,official,True,0.09672517457407559,0.001998610292720222,0.020662772659971938,0.017180430025303534,0.006794259781211481,0.025810038420062742,False
near_identity_8192,near_identity,8192,0,0,4096,bf16_checkpoint,True,0.09567599079983412,0.0019737204635325955,0.020629213735155985,0.015930641289200353,0.006613037388710252,0.025204497891973203,False
near_identity_8192,near_identity,8192,0,1,4096,bf16_checkpoint,True,0.09717641127593982,0.0020014765077437276,0.020596320459503107,0.01908495227934992,0.006869806088888332,0.02764063587504572,False
near_identity_8192,near_identity,8192,0,2,4096,bf16_checkpoint,True,0.09672517457407559,0.0019835229003892954,0.02050679059638443,0.019237314108349224,0.006693368565910898,0.024716281748474952,False
near_identity_8192,near_identity,8192,0,0,4096,fp32_checkpoint,True,0.09567599079983412,3.004811250698597e-08,3.140611584556286e-07,2.8902069226788285e-07,1.0195595218438081e-07,4.087193806086565e-07,True
near_identity_8192,near_identity,8192,0,1,4096,fp32_checkpoint,True,0.09717641127593982,3.076068832501339e-08,3.1654480671925693e-07,2.66318617436756e-07,1.050875040731203e-07,4.133628233344437e-07,True
near_identity_8192,near_identity,8192,0,2,4096,fp32_checkpoint,True,0.09672517457407559,3.023335783162574e-08,3.125696899980465e-07,2.2067216493004693e-07,1.0100035611637637e-07,4.0022553413060743e-07,True
near_identity_8192,near_identity,8192,0,0,8192,official,True,0.09487174524187891,0.0022792959137976137,0.024025023551390006,0.022315269427356704,0.007449970405115902,0.031138541472385102,False
near_identity_8192,near_identity,8192,0,1,8192,official,True,0.09630045561761404,0.00227328724401071,0.023606194066592867,0.015778284375863094,0.007455444320818772,0.02999256507573609,False
near_identity_8192,near_identity,8192,0,2,8192,official,True,0.09503539609522924,0.0023190399443874716,0.02440185488429702,0.018941847863348016,0.007617752017273688,0.029944013558017128,False
near_identity_8192,near_identity,8192,0,0,8192,bf16_checkpoint,True,0.09487174524187891,0.0022421901442286423,0.02363390847835779,0.021211994025913117,0.007329983426125503,0.030892928070503402,False
near_identity_8192,near_identity,8192,0,1,8192,bf16_checkpoint,True,0.09630045561761404,0.00225092783464705,0.023374010228829484,0.015778284375863094,0.007423563055917899,0.0298783649049987,False
near_identity_8192,near_identity,8192,0,2,8192,bf16_checkpoint,True,0.09503539609522924,0.002286157519428822,0.024055853012260837,0.01642225252509527,0.007670687030511694,0.03014268127393726,False
near_identity_8192,near_identity,8192,0,0,8192,fp32_checkpoint,True,0.09487174524187891,3.4522064070290364e-08,3.638814062319095e-07,2.683986758400536e-07,1.1308633799306245e-07,4.887997091415101e-07,True
near_identity_8192,near_identity,8192,0,1,8192,fp32_checkpoint,True,0.09630045561761404,3.4275198442706506e-08,3.559193798501336e-07,2.776766064027658e-07,1.121003118906283e-07,4.4943395395707715e-07,True
near_identity_8192,near_identity,8192,0,2,8192,fp32_checkpoint,True,0.09503539609522924,3.413203028427938e-08,3.591507131729922e-07,2.7368965327401185e-07,1.1258038362604861e-07,4.708693592303859e-07,True
near_identity_65536,near_identity,65536,0,0,16,official,True,0.10030777157466356,0.0001684013409480315,0.001678846397486588,0.0009806312579120346,0.0004876361758259157,0.002038353954983434,True
near_identity_65536,near_identity,65536,0,1,16,official,True,0.10003793900221135,0.00016584319726160288,0.0016578030186921073,0.0009795505160378748,0.0004845962606208515,0.002048800906898661,True
near_identity_65536,near_identity,65536,0,2,16,official,True,0.10009826693646098,0.00016851028015219067,0.0016834485282263211,0.0010146274524143184,0.0004900134845666834,0.002084439682336435,True
near_identity_65536,near_identity,65536,0,0,16,bf16_checkpoint,True,0.10030777157466356,0.00016652425530749203,0.0016601331351832553,0.0009728987474610373,0.0004790211675299841,0.0019984488036370552,True
near_identity_65536,near_identity,65536,0,1,16,bf16_checkpoint,True,0.10003793900221135,0.0001638102090003398,0.0016374808461089825,0.0009735744839621252,0.0004755352753325842,0.0020465993806103805,True
near_identity_65536,near_identity,65536,0,2,16,bf16_checkpoint,True,0.10009826693646098,0.00016657964460424848,0.0016641611258863018,0.0009749192236737092,0.0004798326380824955,0.002005018994066232,True
near_identity_65536,near_identity,65536,0,0,16,fp32_checkpoint,True,0.10030777157466356,2.550496564899241e-09,2.5426709464887197e-08,1.4857301666726386e-08,7.292365871436335e-09,3.2697920041227436e-08,True
near_identity_65536,near_identity,65536,0,1,16,fp32_checkpoint,True,0.10003793900221135,2.534329793101038e-09,2.5333686583097404e-08,1.486707129627618e-08,7.284308691513087e-09,2.9811650547188734e-08,True
near_identity_65536,near_identity,65536,0,2,16,fp32_checkpoint,True,0.10009826693646098,2.5198838365445352e-09,2.5174100548055172e-08,1.4805148162988502e-08,7.2973619552607615e-09,3.1926560805759365e-08,True
near_identity_65536,near_identity,65536,0,0,64,official,True,0.1001395180804908,0.00033382279706803007,0.0033335770279991537,0.003352558598963107,0.0011736379375696067,0.004108673452817574,True
near_identity_65536,near_identity,65536,0,1,64,official,True,0.09995370293097088,0.00032976908228300056,0.0032992182641871978,0.003102607827676074,0.0011350128633353925,0.004340077037558187,True
near_identity_65536,near_identity,65536,0,2,64,official,True,0.09998383808508843,0.0003347778304275696,0.0033483194568172748,0.0027358459967696813,0.0011805093949948475,0.0042794760356131625,True
near_identity_65536,near_identity,65536,0,0,64,bf16_checkpoint,True,0.1001395180804908,0.00033361394830950586,0.0033314914501720635,0.003352558598963107,0.0011912733175569637,0.004209912381189003,True
near_identity_65536,near_identity,65536,0,1,64,bf16_checkpoint,True,0.09995370293097088,0.0003268915677784294,0.0032704297909221464,0.003102607827676074,0.0011549272203013302,0.004114142914210012,True
near_identity_65536,near_identity,65536,0,2,64,bf16_checkpoint,True,0.09998383808508843,0.0003311199967032061,0.0033117352068582897,0.002441010786361608,0.0011721223956129383,0.004224771424250219,True
near_identity_65536,near_identity,65536,0,0,64,fp32_checkpoint,True,0.1001395180804908,5.007026195137831e-09,5.0000502210458517e-08,4.07115902101296e-08,1.7884631346720697e-08,6.353228851666908e-08,True
near_identity_65536,near_identity,65536,0,1,64,fp32_checkpoint,True,0.09995370293097088,5.052809945178441e-09,5.0551503316169955e-08,4.559065330811407e-08,1.8098463218929605e-08,6.170444215994347e-08,True
near_identity_65536,near_identity,65536,0,2,64,fp32_checkpoint,True,0.09998383808508843,5.0146325083939005e-09,5.0154431000401674e-08,4.919836094074981e-08,1.7806313687696032e-08,6.514061691707893e-08,True
near_identity_65536,near_identity,65536,0,0,256,official,True,0.09984595786991644,0.0006584988285160335,0.006595147590991653,0.006269937810960247,0.002319180023863056,0.009227528668836946,True
near_identity_65536,near_identity,65536,0,1,256,official,True,0.0997147538090112,0.0006570996186789641,0.006589793321232492,0.006215177859153043,0.002308628523976849,0.008589518235737923,True
near_identity_65536,near_identity,65536,0,2,256,official,True,0.09976469483710276,0.0006527097777613536,0.006542492600484646,0.007308104743372901,0.0022590241927119463,0.008362651146938778,True
near_identity_65536,near_identity,65536,0,0,256,bf16_checkpoint,True,0.09984595786991644,0.0006525314910892191,0.006535382152769418,0.006269937810960247,0.002346447647564199,0.008934627145087538,True
near_identity_65536,near_identity,65536,0,1,256,bf16_checkpoint,True,0.0997147538090112,0.0006494778101128908,0.006513357204460126,0.006144010890999196,0.0023101293335057497,0.008843414479552699,True
near_identity_65536,near_identity,65536,0,2,256,bf16_checkpoint,True,0.09976469483710276,0.0006471289944726003,0.006486553139156511,0.007308104743372901,0.0022495279429390574,0.008547124793157335,True
near_identity_65536,near_identity,65536,0,0,256,fp32_checkpoint,True,0.09984595786991644,9.843290941646394e-09,9.858477149841811e-08,9.929922151208359e-08,3.5408547878479364e-08,1.327965467275665e-07,True
near_identity_65536,near_identity,65536,0,1,256,fp32_checkpoint,True,0.0997147538090112,9.998510292740461e-09,1.0027112248495466e-07,8.451022631694727e-08,3.647101585402268e-08,1.368921389763691e-07,True
near_identity_65536,near_identity,65536,0,2,256,fp32_checkpoint,True,0.09976469483710276,1.0084431255817381e-08,1.0108216410909077e-07,9.1319026701564e-08,3.611232934894182e-08,1.3143890711425066e-07,True
near_identity_65536,near_identity,65536,0,0,1024,official,True,0.09928267022037995,0.0012472403033678369,0.01256251771431318,0.012720327489942562,0.004369343372321698,0.016588981144554964,True
near_identity_65536,near_identity,65536,0,1,1024,official,True,0.09869269969545315,0.0012396636038572149,0.01256084399031114,0.010208745063765123,0.004334281540881972,0.017164575808840444,True
near_identity_65536,near_identity,65536,0,2,1024,official,True,0.09887245152084981,0.0012551454523673843,0.012694592205015818,0.009670147270482599,0.004391318111943431,0.015850889627241557,True
near_identity_65536,near_identity,65536,0,0,1024,bf16_checkpoint,True,0.09928267022037995,0.0012374061547131892,0.012463465698157506,0.015216445340733353,0.004437783199774852,0.0182639552612476,True
near_identity_65536,near_identity,65536,0,1,1024,bf16_checkpoint,True,0.09869269969545315,0.0012237935696832734,0.012400041476823179,0.011229393750083083,0.004331467087472489,0.016734710650764702,True
near_identity_65536,near_identity,65536,0,2,1024,bf16_checkpoint,True,0.09887245152084981,0.0012362280912670393,0.012503261244678945,0.009670147270482599,0.004371734706668494,0.016319244669104043,True
near_identity_65536,near_identity,65536,0,0,1024,fp32_checkpoint,True,0.09928267022037995,1.8652918313106634e-08,1.878768799398962e-07,1.6205102310040687e-07,6.47663331307391e-08,2.441480077875388e-07,True
near_identity_65536,near_identity,65536,0,1,1024,fp32_checkpoint,True,0.09869269969545315,1.8569528159668052e-08,1.8815503291499852e-07,1.9784559890378972e-07,6.537157650199354e-08,2.5888434321001555e-07,True
