case,pattern,length,sequence,seed,method,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative,within_2pct
weak_256,weak,256,0,0,fp32_checkpoint,True,0.03734505388461214,1.8088082496559739e-09,4.843501512261267e-08,1.1360363748671998e-08,5.37949739372323e-09,6.086977368781861e-08,True
weak_256,weak,256,0,1,fp32_checkpoint,True,0.034909862437984954,1.6683509140561385e-09,4.779024600912859e-08,9.825562474752303e-09,5.1222724128246805e-09,6.211211960663217e-08,True
weak_256,weak,256,0,2,fp32_checkpoint,True,0.03583761098163474,1.7350279809767198e-09,4.841360608177393e-08,1.0566130762001968e-08,5.166618606347577e-09,6.61597969254909e-08,True
weak_256,weak,256,0,0,output_rounding_floor,True,0.03734505388461214,6.16657436819621e-05,0.0016512425948693352,0.0004814256744194445,0.00021907248316454798,0.0019464201104603526,True
weak_256,weak,256,0,1,output_rounding_floor,True,0.034909862437984954,5.8342636041212366e-05,0.0016712364921189298,0.0004775363725802728,0.00021631863546188855,0.0019605527705397465,True
weak_256,weak,256,0,2,output_rounding_floor,True,0.03583761098163474,5.948816246443545e-05,0.0016599366094721163,0.0004848394113506904,0.00021745486726517375,0.0019969533481185102,True
weak_8192,weak,8192,0,0,official,True,0.044488445123757825,0.00036907364526412797,0.008295943907174998,0.002094191027797329,0.0009709203030301094,0.00868431304054294,True
weak_8192,weak,8192,0,1,official,True,0.044772329833023344,0.00037213088934809563,0.008311626639398557,0.002069216172355226,0.0009797285453348112,0.008689383097437674,True
weak_8192,weak,8192,0,2,official,True,0.04473714666699059,0.0003726071137217489,0.008328808193676731,0.0022180639854772477,0.0009807200233858705,0.008608689707989501,True
weak_8192,weak,8192,0,0,bf16_checkpoint,True,0.044488445123757825,0.00019481860692574515,0.004379083296433475,0.0010124065607254734,0.0005124116321965589,0.004676510926782256,True
weak_8192,weak,8192,0,1,bf16_checkpoint,True,0.044772329833023344,0.0001955117785953011,0.004366799300470952,0.0010458501628194117,0.0005118988161386152,0.004525776606202392,True
weak_8192,weak,8192,0,2,bf16_checkpoint,True,0.04473714666699059,0.0001954512769802835,0.0043688811545171185,0.001012399410443579,0.0005128919214743254,0.004573472444490871,True
weak_8192,weak,8192,0,0,fp32_checkpoint,True,0.044488445123757825,2.972114830807098e-09,6.680644429220391e-08,1.6296452097497305e-08,7.798104923947835e-09,7.03571173956164e-08,True
weak_8192,weak,8192,0,1,fp32_checkpoint,True,0.044772329833023344,2.987022802054624e-09,6.671582232138932e-08,1.602702235509179e-08,7.83319354584304e-09,7.023890388845385e-08,True
weak_8192,weak,8192,0,2,fp32_checkpoint,True,0.04473714666699059,2.9740699760473143e-09,6.647875865185069e-08,1.5660955997309767e-08,7.806005029864505e-09,6.982670966265686e-08,True
weak_8192,weak,8192,0,0,output_rounding_floor,True,0.044488445123757825,7.36542895101265e-05,0.0016555824620355963,0.0004878972500465262,0.00023265441433893003,0.0016949557335020642,True
weak_8192,weak,8192,0,1,output_rounding_floor,True,0.044772329833023344,7.414341794811051e-05,0.0016560098217945213,0.00048817528922104336,0.00023323468068809153,0.0017070550099804662,True
weak_8192,weak,8192,0,2,output_rounding_floor,True,0.04473714666699059,7.40991780429076e-05,0.001656323292016785,0.0004882133595217053,0.00023292057845225242,0.0016888591052004445,True
weak_65536,weak,65536,0,0,official,True,0.0449607255270651,0.00037446347456931035,0.008328679534850784,0.0024119377033009204,0.0009813059191679963,0.00843524989062371,True
weak_65536,weak,65536,0,1,official,True,0.04501438917014629,0.00037502553134218593,0.008331236705771057,0.002475072087798569,0.0009835255430882294,0.00842624917575199,True
weak_65536,weak,65536,0,2,official,True,0.04504813047038924,0.000375615630856414,0.008338095875106546,0.002370105419117141,0.0009848157852033823,0.008456415716892408,True
weak_65536,weak,65536,0,0,bf16_checkpoint,True,0.0449607255270651,0.00019760800023299006,0.004395124809852892,0.001158615661256579,0.0005154389761860114,0.004468867737974088,True
weak_65536,weak,65536,0,1,bf16_checkpoint,True,0.04501438917014629,0.0001975223883317766,0.004387983308741067,0.0011838898751928145,0.0005158698401520125,0.004495026972476614,True
weak_65536,weak,65536,0,2,bf16_checkpoint,True,0.04504813047038924,0.00019787806243638903,0.004392592109154386,0.0011388197792047295,0.0005163218075140338,0.004484416160625467,True
weak_65536,weak,65536,0,0,fp32_checkpoint,True,0.0449607255270651,3.0098612296257794e-09,6.694423175653442e-08,1.7269842517847467e-08,7.851155090776715e-09,6.784920319780348e-08,True
weak_65536,weak,65536,0,1,fp32_checkpoint,True,0.04501438917014629,3.0114192703207225e-09,6.689903663777598e-08,1.848488921651903e-08,7.857831500913261e-09,6.781644704563237e-08,True
weak_65536,weak,65536,0,2,fp32_checkpoint,True,0.04504813047038924,3.018077497772818e-09,6.69967314127862e-08,1.7385687264837024e-08,7.874922559394924e-09,6.818356987223093e-08,True
weak_65536,weak,65536,0,0,output_rounding_floor,True,0.0449607255270651,7.447019432648224e-05,0.0016563388035554113,0.0004882884814074173,0.00023335081161654834,0.0016713290999485367,True
weak_65536,weak,65536,0,1,output_rounding_floor,True,0.04501438917014629,7.452234079711612e-05,0.0016555226488897824,0.0004882846937249441,0.00023329677101063053,0.0016719819989334955,True
weak_65536,weak,65536,0,2,output_rounding_floor,True,0.04504813047038924,7.456493623705719e-05,0.0016552282072187158,0.00048827317638791556,0.00023330799956086372,0.0016674593014966571,True
near_identity_256,near_identity,256,0,0,official,True,0.008743772345863385,4.8950921732412886e-05,0.005598375597641356,0.00024068934664767463,0.0001390159150888006,0.007183762236780084,True
near_identity_256,near_identity,256,0,1,official,True,0.008786194566336785,4.981628403006763e-05,0.005669836202004056,0.00025643983536535395,0.00014102482686098423,0.007243272354620927,True
near_identity_256,near_identity,256,0,2,official,True,0.008727960896197809,4.940640664172879e-05,0.005660704399266026,0.00025432315848055234,0.0001387385605025188,0.007063380854475196,True
near_identity_256,near_identity,256,0,0,bf16_checkpoint,True,0.008743772345863385,3.952160559896013e-05,0.004519971933813843,0.0002235212336417127,0.00011745561379413702,0.006360079215821136,True
near_identity_256,near_identity,256,0,1,bf16_checkpoint,True,0.008786194566336785,3.951771068050925e-05,0.004497704937233744,0.00023330652331630275,0.0001170847225065567,0.005877179742480038,True
near_identity_256,near_identity,256,0,2,bf16_checkpoint,True,0.008727960896197809,3.948274838503004e-05,0.004523708212559711,0.00020536877326439787,0.00011742312776619692,0.0060823853134920666,True
near_identity_256,near_identity,256,0,0,fp32_checkpoint,True,0.008743772345863385,5.910967504824068e-10,6.76020288613816e-08,3.3896262290056267e-09,1.731265927861804e-09,8.95046722652038e-08,True
near_identity_256,near_identity,256,0,1,fp32_checkpoint,True,0.008786194566336785,6.013470633669351e-10,6.844226574163539e-08,4.398744408648514e-09,1.805764446652369e-09,1.0208712291045725e-07,True
near_identity_256,near_identity,256,0,2,fp32_checkpoint,True,0.008727960896197809,5.957393352727759e-10,6.825641663132334e-08,3.2895595726556426e-09,1.7583995367978811e-09,9.422828086369868e-08,True
near_identity_256,near_identity,256,0,0,output_rounding_floor,True,0.008743772345863385,1.4568107907650387e-05,0.0016661124433943494,0.00011967501894090404,5.2982859971029814e-05,0.001862061633382521,True
near_identity_256,near_identity,256,0,1,output_rounding_floor,True,0.008786194566336785,1.4699480996712589e-05,0.0016730202006943742,0.00011568981984597104,5.3629313145961714e-05,0.0018540541632380198,True
near_identity_256,near_identity,256,0,2,output_rounding_floor,True,0.008727960896197809,1.4456710319340871e-05,0.0016563674483966464,0.00012162739635107611,5.248503592897722e-05,0.0019843245535810833,True
near_identity_8192,near_identity,8192,0,0,official,True,0.008499950647228798,0.0001677655435824373,0.019737237372917358,0.001051202013994338,0.0004640994788062576,0.023107810035527927,True
near_identity_8192,near_identity,8192,0,1,official,True,0.008622958382603699,0.00017006445869912693,0.019722286847889903,0.000976693115535306,0.0004705519099125568,0.023661343216608472,True
near_identity_8192,near_identity,8192,0,2,official,True,0.008555751541398952,0.0001704405921217402,0.019921171307631432,0.0009942167436790012,0.00047147116413019316,0.023298460842767293,True
near_identity_8192,near_identity,8192,0,0,bf16_checkpoint,True,0.008499950647228798,0.00016428316530937032,0.019327543432611678,0.0009825383416225894,0.00045744693711467587,0.023234556558209,True
near_identity_8192,near_identity,8192,0,1,bf16_checkpoint,True,0.008622958382603699,0.00016640707934112528,0.019298142465449166,0.0010081233114923576,0.0004631907673556515,0.023432987568329955,True
near_identity_8192,near_identity,8192,0,2,bf16_checkpoint,True,0.008555751541398952,0.00016635797923936826,0.0194439937198278,0.0010408388650868334,0.00046162966681590704,0.022902099699811603,True
near_identity_8192,near_identity,8192,0,0,fp32_checkpoint,True,0.008499950647228798,2.5139373797203795e-09,2.957590560293415e-07,1.513962564689275e-08,6.974741909027138e-09,3.629100860442743e-07,True
near_identity_8192,near_identity,8192,0,1,fp32_checkpoint,True,0.008622958382603699,2.547559108182234e-09,2.9543910513609595e-07,1.3571572701591428e-08,7.043265477790772e-09,3.457862791499076e-07,True
near_identity_8192,near_identity,8192,0,2,fp32_checkpoint,True,0.008555751541398952,2.515379756594397e-09,2.939986913391722e-07,1.70133895851729e-08,6.953209664289917e-09,3.467311969773632e-07,True
near_identity_8192,near_identity,8192,0,0,output_rounding_floor,True,0.008499950647228798,1.4142482349161804e-05,0.0016638311133927131,0.00012141917226195925,5.196031937854291e-05,0.0017056620335864328,True
near_identity_8192,near_identity,8192,0,1,output_rounding_floor,True,0.008622958382603699,1.4300641731076805e-05,0.0016584379857297574,0.00012135455449688304,5.2262705241348795e-05,0.0016938512620754118,True
near_identity_8192,near_identity,8192,0,2,output_rounding_floor,True,0.008555751541398952,1.4239899853728944e-05,0.0016643657526549183,0.00012153889052137629,5.214116405828726e-05,0.001701526277126432,True
near_identity_65536,near_identity,65536,0,0,official,True,0.008432215055875445,0.0002074961650992214,0.024607551363937413,0.0011773305138524717,0.0005457764506816879,0.026666477759216427,False
near_identity_65536,near_identity,65536,0,1,official,True,0.008432808930051003,0.00020857531496304416,0.02473378878771568,0.0013197105370638105,0.00054895095233102,0.026578638335521335,False
near_identity_65536,near_identity,65536,0,2,official,True,0.008403219339168029,0.0002072213091630748,0.024659752506661456,0.0013475720333548035,0.0005448766474727344,0.026612382774613256,False
near_identity_65536,near_identity,65536,0,0,bf16_checkpoint,True,0.008432215055875445,0.0002022827451498322,0.023989277290655024,0.0011692522372788137,0.0005319444275760277,0.026143372192196413,False
near_identity_65536,near_identity,65536,0,1,bf16_checkpoint,True,0.008432808930051003,0.00020310680846944635,0.02408530895863876,0.0012314481665598176,0.0005345632757683659,0.025897529932518357,False
near_identity_65536,near_identity,65536,0,2,bf16_checkpoint,True,0.008403219339168029,0.00020194362211228056,0.024031697134335925,0.00117578607403648,0.0005314900970857968,0.025852458419930814,False
near_identity_65536,near_identity,65536,0,0,fp32_checkpoint,True,0.008432215055875445,3.0950548548858985e-09,3.670512237148541e-07,1.753975941310576e-08,8.146145303641188e-09,3.869892583550655e-07,True
near_identity_65536,near_identity,65536,0,1,fp32_checkpoint,True,0.008432808930051003,3.082597659121768e-09,3.655481447156569e-07,1.9515901374979328e-08,8.104942337736584e-09,3.9703075017358333e-07,True
near_identity_65536,near_identity,65536,0,2,fp32_checkpoint,True,0.008403219339168029,3.09495619947609e-09,3.683060116079881e-07,1.8602276431051168e-08,8.148160575284328e-09,4.066422070509226e-07,True
near_identity_65536,near_identity,65536,0,0,output_rounding_floor,True,0.008432215055875445,1.4021844956309529e-05,0.0016628898650467069,0.00012198818317714355,5.155174939379694e-05,0.0016762988867609773,True
near_identity_65536,near_identity,65536,0,1,output_rounding_floor,True,0.008432808930051003,1.4022926051583578e-05,0.0016629009583760087,0.00012206768446948457,5.1586040103500704e-05,0.0016797953007139385,True
near_identity_65536,near_identity,65536,0,2,output_rounding_floor,True,0.008403219339168029,1.3965316929111878e-05,0.0016619007984259675,0.00012206192449495945,5.140330501746381e-05,0.0016788963597798461,True
nonzero_8192,nonzero,8192,0,0,official,True,0.004275886263879125,2.4533194875483572e-05,0.0057375695613631275,0.0005491238377347343,9.492370322812223e-05,0.006070345439087314,True
nonzero_8192,nonzero,8192,0,1,official,True,0.004306285247142481,2.4691332554145955e-05,0.005733789365330679,0.0004676831093095579,9.552539732014765e-05,0.0060831519673379165,True
nonzero_8192,nonzero,8192,0,2,official,True,0.004326427964014012,2.4772149985356277e-05,0.005725774285716513,0.00046560184488456113,9.585742456928617e-05,0.005966968401461086,True
nonzero_8192,nonzero,8192,0,0,bf16_checkpoint,True,0.004275886263879125,3.4520188084384745e-07,8.073224111688065e-05,1.4831042170167404e-05,1.5088183548398325e-06,9.370805367976298e-05,True
nonzero_8192,nonzero,8192,0,1,bf16_checkpoint,True,0.004306285247142481,3.5443013521474423e-07,8.230530837452842e-05,1.8954706929398546e-05,1.5435923262706146e-06,0.00010771398759561725,True
nonzero_8192,nonzero,8192,0,2,bf16_checkpoint,True,0.004326427964014012,3.6356388693982193e-07,8.40332694693734e-05,2.584901148201986e-05,1.5554531679845096e-06,0.00011403156258978644,True
nonzero_8192,nonzero,8192,0,0,fp32_checkpoint,True,0.004275886263879125,5.264153093506116e-12,1.2311256120106492e-09,2.611428360881074e-10,2.303157274272105e-11,1.4915878345974397e-09,True
nonzero_8192,nonzero,8192,0,1,fp32_checkpoint,True,0.004306285247142481,5.4557104043420675e-12,1.2669180259162605e-09,3.051497687346638e-10,2.3471106026622113e-11,1.8022353290259876e-09,True
