chunk,gate_case,seed,numeric_path,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count
16,constant_-1,0,fp64,decay,0,0,0,0,,,1.1253517471925912e-07,0.36787944117144233,0.0,0.0,16
16,constant_-1,0,fp64,inverse,0,0,0,0,,,2.718281828459045,8886110.520507872,0.0,0.0,16
16,constant_-1,0,fp64,direct,0,0,0,0,,,3.059023205018258e-07,1.0,0.0,0.0,136
16,constant_-1,0,fp64,factorized,0,0,0,0,,,3.059023205018258e-07,1.0000000000000002,2.220446049250313e-16,8.70470122340765e-17,136
16,constant_-1,0,fp32,prefix,0,0,0,0,,,-16.0,-1.0,0.0,0.0,16
16,constant_-1,0,fp32,decay,0,0,0,0,,,1.1253517584464134e-07,0.3678794503211975,9.149755175741348e-09,2.3873853571792978e-08,16
16,constant_-1,0,fp32,inverse,0,0,0,0,,,2.7182817459106445,8886111.0,0.4794921278953552,5.193459246671323e-08,16
16,constant_-1,0,fp32,direct,0,0,0,0,,,3.0590231858695915e-07,1.0,9.149755175741348e-09,8.51955020209061e-09,136
16,constant_-1,0,fp32,factorized,0,0,0,0,,,3.0590231858695915e-07,1.0000001192092896,1.1920928955078125e-07,4.5895746288134676e-08,136
16,constant_-1,0,fp32_bf16,prefix,0,0,0,0,,,-16.0,-1.0,0.0,0.0,16
16,constant_-1,0,fp32_bf16,decay,0,0,0,0,,,1.126900315284729e-07,0.3671875,0.000691941171442334,0.0020296612965936167,16
16,constant_-1,0,fp32_bf16,inverse,0,0,0,0,,,2.71875,8912896.0,26785.479492127895,0.0029237723694483272,16
16,constant_-1,0,fp32_bf16,direct,0,0,0,0,,,3.0547380447387695e-07,1.0,0.000691941171442334,0.0007202358131202362,136
16,constant_-1,0,fp32_bf16,factorized,0,0,0,0,,,3.063760232180357e-07,1.00439453125,0.00439453125,0.002141791117360449,136
16,constant_-1,0,ftz_model_bf16,prefix,0,0,0,0,,,-16.0,-1.0,1.9073486328125e-06,7.599693767948573e-08,16
16,constant_-1,0,ftz_model_bf16,decay,0,0,0,0,,,1.126900315284729e-07,0.3671875,0.000691941171442334,0.0020296612965936167,16
16,constant_-1,0,ftz_model_bf16,inverse,0,0,0,0,,,2.71875,8912896.0,26785.479492127895,0.0029237723694483272,16
16,constant_-1,0,ftz_model_bf16,direct,0,0,0,0,,,3.0547380447387695e-07,1.0,0.000691941171442334,0.0007202358131202362,136
16,constant_-1,0,ftz_model_bf16,factorized,0,0,0,0,,,3.063760232180357e-07,1.00439453125,0.00439453125,0.002141791117360449,136
32,constant_-1,0,fp64,prefix,0,0,0,0,,,-32.0,-1.0,0.0,0.0,32
32,constant_-1,0,fp64,decay,0,0,0,0,,,1.2664165549094176e-14,0.36787944117144233,0.0,0.0,32
32,constant_-1,0,fp64,inverse,0,0,0,0,,,2.718281828459045,78962960182680.69,0.0,0.0,32
32,constant_-1,0,fp64,direct,0,0,0,0,,,3.442477108469977e-14,1.0,0.0,0.0,528
32,constant_-1,0,fp64,factorized,0,0,0,0,,,3.442477108469976e-14,1.0000000000000002,2.220446049250313e-16,8.922977697627488e-17,528
32,constant_-1,0,fp32,prefix,0,0,0,0,,,-32.0,-1.0,0.0,0.0,32
32,constant_-1,0,fp32,decay,0,0,0,0,,,1.2664165777252073e-14,0.3678794503211975,9.149755175741348e-09,2.3873853571793014e-08,32
32,constant_-1,0,fp32,inverse,0,0,0,0,,,2.7182817459106445,78962956959744.0,3222936.6875,3.8240625882491197e-08,32
32,constant_-1,0,fp32,direct,0,0,0,0,,,3.4424770840998584e-14,1.0,9.149755175741348e-09,8.652772178742138e-09,528
32,constant_-1,0,fp32,factorized,0,0,0,0,,,3.4424770840998584e-14,1.0000001192092896,1.1920928955078125e-07,3.8130448206238006e-08,528
32,constant_-1,0,fp32_bf16,prefix,0,0,0,0,,,-32.0,-1.0,0.0,0.0,32
32,constant_-1,0,fp32_bf16,decay,0,0,0,0,,,1.2656542480726785e-14,0.3671875,0.000691941171442334,0.002029661296593608,32
32,constant_-1,0,fp32_bf16,inverse,0,0,0,0,,,2.71875,79164837199872.0,201877017191.3125,0.002479594757913926,32
32,constant_-1,0,fp32_bf16,direct,0,0,0,0,,,3.441691376337985e-14,1.0,0.000691941171442334,0.0007336372761582286,528
32,constant_-1,0,fp32_bf16,factorized,0,0,0,0,,,3.4409974869475946e-14,1.0045166015625,0.0045166015625,0.002056727149294242,528
32,constant_-1,0,ftz_model_bf16,prefix,0,0,0,0,,,-32.000003814697266,-1.0,5.7220458984375e-06,1.1189929582621047e-07,32
32,constant_-1,0,ftz_model_bf16,decay,0,0,0,0,,,1.2656542480726785e-14,0.3671875,0.000691941171442334,0.002029661296593608,32
32,constant_-1,0,ftz_model_bf16,inverse,0,0,0,0,,,2.71875,79164837199872.0,201877017191.3125,0.002479594757913926,32
32,constant_-1,0,ftz_model_bf16,direct,0,0,0,0,,,3.441691376337985e-14,1.0,0.000691941171442334,0.0007336372761582286,528
32,constant_-1,0,ftz_model_bf16,factorized,0,0,0,0,,,3.4409974869475946e-14,1.0045166015625,0.0045166015625,0.002056727149294242,528
64,constant_-1,0,fp64,prefix,0,0,0,0,,,-64.0,-1.0,0.0,0.0,64
64,constant_-1,0,fp64,decay,0,0,0,0,,,1.603810890548638e-28,0.36787944117144233,0.0,0.0,64
64,constant_-1,0,fp64,inverse,0,0,0,0,,,2.718281828459045,6.235149080811617e+27,0.0,0.0,64
64,constant_-1,0,fp64,direct,0,0,0,0,,,4.359610000063081e-28,1.0,0.0,0.0,2080
64,constant_-1,0,fp64,factorized,0,0,0,0,,,4.359610000063081e-28,1.0000000000000002,2.220446049250313e-16,7.896056518449305e-17,2080
64,constant_-1,0,fp32,prefix,0,0,0,0,,,-64.0,-1.0,0.0,0.0,64
64,constant_-1,0,fp32,decay,0,0,0,0,,,1.6038109389511792e-28,0.3678794503211975,9.149755175741348e-09,2.3873853571793014e-08,64
64,constant_-1,0,fp32,inverse,0,0,0,0,,,2.7182817459106445,6.235148841753849e+27,2.3905776754517397e+20,3.632352741283178e-08,64
64,constant_-1,0,fp32,direct,0,0,0,0,,,4.359610133382778e-28,1.0,9.149755175741348e-09,8.718137352536002e-09,2080
64,constant_-1,0,fp32,factorized,0,0,0,0,,,4.359610133382778e-28,1.0000001192092896,1.1920928955078125e-07,3.51171613415565e-08,2080
64,constant_-1,0,fp32_bf16,prefix,0,0,0,0,,,-64.0,-1.0,0.0,0.0,64
64,constant_-1,0,fp32_bf16,decay,0,0,0,0,,,1.601387637598654e-28,0.3671875,0.000691941171442334,0.002029661296593608,64
64,constant_-1,0,fp32_bf16,inverse,0,0,0,0,,,2.71875,6.22838582265457e+27,6.763258157047236e+24,0.0011081407996572682,64
64,constant_-1,0,fp32_bf16,direct,0,0,0,0,,,4.354512196819985e-28,1.0,0.000691941171442334,0.0007401986328812868,2080
64,constant_-1,0,fp32_bf16,factorized,0,0,0,0,,,4.3537726397213405e-28,1.0045166015625,0.0045166015625,0.0021072877013143996,2080
64,constant_-1,0,ftz_model_bf16,prefix,0,0,0,0,,,-64.00001525878906,-1.0,1.52587890625e-05,2.110792777411011e-07,64
64,constant_-1,0,ftz_model_bf16,decay,0,0,0,0,,,1.601387637598654e-28,0.3671875,0.000691941171442334,0.002029661296593608,64
64,constant_-1,0,ftz_model_bf16,inverse,0,0,0,0,,,2.71875,6.22838582265457e+27,6.763258157047236e+24,0.0011081408066680185,64
64,constant_-1,0,ftz_model_bf16,direct,0,0,0,0,,,4.354512196819985e-28,1.0,0.000691941171442334,0.0007401986328812868,2080
64,constant_-1,0,ftz_model_bf16,factorized,0,0,0,0,,,4.3537726397213405e-28,1.00457763671875,0.00457763671875,0.00215386495681578,2080
16,constant_-3,0,fp64,prefix,0,0,0,0,,,-48.0,-3.0,0.0,0.0,16
16,constant_-3,0,fp64,decay,0,0,0,0,,,1.4251640827409352e-21,0.049787068367863944,0.0,0.0,16
16,constant_-3,0,fp64,inverse,0,0,0,0,,,20.085536923187668,7.016735912097631e+20,0.0,0.0,16
16,constant_-3,0,fp64,direct,0,0,0,0,,,2.8625185805493937e-20,1.0,0.0,0.0,136
16,constant_-3,0,fp64,factorized,0,0,0,0,,,2.8625185805493937e-20,1.0000000000000002,2.220446049250313e-16,6.211244390806207e-17,136
16,constant_-3,0,fp32,prefix,0,0,0,0,,,-48.0,-3.0,0.0,0.0,16
16,constant_-3,0,fp32,decay,0,0,0,0,,,1.4251640378466556e-21,0.049787066876888275,1.490975669315997e-09,2.9989146755330935e-08,16
16,constant_-3,0,fp32,inverse,0,0,0,0,,,20.08553695678711,7.016735586870194e+20,32522743709696.0,4.629784420838344e-08,16
16,constant_-3,0,fp32,direct,0,0,0,0,,,2.862518609581133e-20,1.0,1.490975669315997e-09,1.4455182541754173e-09,136
16,constant_-3,0,fp32,factorized,0,0,0,0,,,2.862518609581133e-20,1.0000001192092896,1.1920928955078125e-07,4.472329844591436e-08,136
16,constant_-3,0,fp32_bf16,prefix,0,0,0,0,,,-48.0,-3.0,0.0,0.0,16
16,constant_-3,0,fp32_bf16,decay,0,0,0,0,,,1.4227506535912076e-21,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,16
16,constant_-3,0,fp32_bf16,inverse,0,0,0,0,,,20.125,7.00976274800963e+20,6.973164088001823e+17,0.0009960329536374349,16
16,constant_-3,0,fp32_bf16,direct,0,0,0,0,,,2.8587361969832636e-20,1.0,1.7619132136055538e-05,1.819833312200697e-05,136
16,constant_-3,0,fp32_bf16,factorized,0,0,0,0,,,2.863285690352305e-20,1.0045166015625,0.0045166015625,0.0022948729780669346,136
16,constant_-3,0,ftz_model_bf16,prefix,0,0,0,0,,,-48.00000762939453,-3.0,7.62939453125e-06,1.2838312667843241e-07,16
16,constant_-3,0,ftz_model_bf16,decay,0,0,0,0,,,1.4227506535912076e-21,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,16
16,constant_-3,0,ftz_model_bf16,inverse,0,0,0,0,,,20.125,7.00976274800963e+20,6.973164088001823e+17,0.0009960329536374349,16
16,constant_-3,0,ftz_model_bf16,direct,0,0,0,0,,,2.8587361969832636e-20,1.0,1.7619132136055538e-05,1.819833312200697e-05,136
16,constant_-3,0,ftz_model_bf16,factorized,0,0,0,0,,,2.863285690352305e-20,1.0045166015625,0.0045166015625,0.0022948729780669346,136
32,constant_-3,0,fp64,prefix,0,0,0,0,,,-96.0,-3.0,0.0,0.0,32
32,constant_-3,0,fp64,decay,0,0,0,0,,,2.031092662734811e-42,0.049787068367863944,0.0,0.0,32
32,constant_-3,0,fp64,inverse,0,0,0,0,,,20.085536923187668,4.923458286012058e+41,0.0,0.0,32
32,constant_-3,0,fp64,direct,0,0,0,0,,,4.0795586671775603e-41,1.0,0.0,0.0,528
32,constant_-3,0,fp64,factorized,0,0,0,0,,,4.0795586671775603e-41,1.0000000000000002,2.220446049250313e-16,7.347927174495946e-17,528
32,constant_-3,0,fp32,prefix,0,0,0,0,,,-96.0,-3.0,0.0,0.0,32
32,constant_-3,0,fp32,decay,0,0,0,0,,,2.03048147480666e-42,0.049787066876888275,1.490975669315997e-09,2.9989146755330935e-08,32
32,constant_-3,0,fp32,inverse,0,0,3,0,29,30,20.08553695678711,6.076030347399616e+37,,,32
32,constant_-3,0,fp32,direct,0,0,0,0,,,4.07960021918884e-41,1.0,1.490975669315997e-09,1.4694891928915316e-09,528
32,constant_-3,0,fp32,factorized,0,0,6,0,464,,4.0783390505709476e-41,1.0000001192092896,,,528
32,constant_-3,0,fp32_bf16,prefix,0,0,0,0,,,-96.0,-3.0,0.0,0.0,32
32,constant_-3,0,fp32_bf16,decay,2,2,0,0,30,31,0.0,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,32
32,constant_-3,0,fp32_bf16,inverse,0,0,3,0,29,30,20.125,6.08121808071599e+37,,,32
32,constant_-3,0,fp32_bf16,direct,1,1,0,0,496,,0.0,1.0,1.7619132136055538e-05,1.8540562140202234e-05,528
