gate_case,seed,numeric_path,token,gate,prefix,decay,inverse
constant_0,0,ftz_model_bf16,41,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,42,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,43,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,44,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,45,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,46,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,47,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,48,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,49,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,50,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,51,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,52,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,53,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,54,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,55,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,56,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,57,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,58,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,59,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,60,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,61,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,62,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,63,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,64,0.0,0.0,1.0,1.0
constant_-0.1,0,fp64,1,-0.1,-0.1,0.9048374180359595,1.1051709180756477
constant_-0.1,0,fp64,2,-0.1,-0.2,0.8187307530779818,1.2214027581601699
constant_-0.1,0,fp64,3,-0.1,-0.30000000000000004,0.7408182206817179,1.3498588075760032
constant_-0.1,0,fp64,4,-0.1,-0.4,0.6703200460356393,1.4918246976412703
constant_-0.1,0,fp64,5,-0.1,-0.5,0.6065306597126334,1.6487212707001282
constant_-0.1,0,fp64,6,-0.1,-0.6,0.5488116360940265,1.8221188003905089
constant_-0.1,0,fp64,7,-0.1,-0.7,0.4965853037914095,2.0137527074704766
constant_-0.1,0,fp64,8,-0.1,-0.7999999999999999,0.4493289641172216,2.2255409284924674
constant_-0.1,0,fp64,9,-0.1,-0.8999999999999999,0.40656965974059917,2.4596031111569494
constant_-0.1,0,fp64,10,-0.1,-0.9999999999999999,0.3678794411714424,2.718281828459045
constant_-0.1,0,fp64,11,-0.1,-1.0999999999999999,0.3328710836980796,3.0041660239464325
constant_-0.1,0,fp64,12,-0.1,-1.2,0.30119421191220214,3.3201169227365472
constant_-0.1,0,fp64,13,-0.1,-1.3,0.2725317930340126,3.6692966676192444
constant_-0.1,0,fp64,14,-0.1,-1.4000000000000001,0.24659696394160643,4.055199966844675
constant_-0.1,0,fp64,15,-0.1,-1.5000000000000002,0.2231301601484298,4.481689070338065
constant_-0.1,0,fp64,16,-0.1,-1.6000000000000003,0.20189651799465536,4.953032424395117
constant_-0.1,0,fp64,17,-0.1,-1.7000000000000004,0.18268352405273458,5.473947391727202
constant_-0.1,0,fp64,18,-0.1,-1.8000000000000005,0.16529888822158645,6.049647464412949
constant_-0.1,0,fp64,19,-0.1,-1.9000000000000006,0.14956861922263498,6.685894442279273
constant_-0.1,0,fp64,20,-0.1,-2.0000000000000004,0.13533528323661262,7.389056098930653
constant_-0.1,0,fp64,21,-0.1,-2.1000000000000005,0.12245642825298185,8.166169912567655
constant_-0.1,0,fp64,22,-0.1,-2.2000000000000006,0.11080315836233381,9.025013499434127
constant_-0.1,0,fp64,23,-0.1,-2.3000000000000007,0.10025884372280366,9.974182454814727
constant_-0.1,0,fp64,24,-0.1,-2.400000000000001,0.09071795328941243,11.02317638064161
constant_-0.1,0,fp64,25,-0.1,-2.500000000000001,0.08208499862389872,12.182493960703484
constant_-0.1,0,fp64,26,-0.1,-2.600000000000001,0.07427357821433381,13.463738035001704
constant_-0.1,0,fp64,27,-0.1,-2.700000000000001,0.06720551273974969,14.87973172487285
constant_-0.1,0,fp64,28,-0.1,-2.800000000000001,0.060810062625217896,16.44464677109707
constant_-0.1,0,fp64,29,-0.1,-2.9000000000000012,0.05502322005640716,18.174145369443085
constant_-0.1,0,fp64,30,-0.1,-3.0000000000000013,0.049787068367863875,20.085536923187693
constant_-0.1,0,fp64,31,-0.1,-3.1000000000000014,0.045049202393557745,22.197951281441664
constant_-0.1,0,fp64,32,-0.1,-3.2000000000000015,0.040762203978366156,24.532530197109384
constant_-0.1,0,fp64,33,-0.1,-3.3000000000000016,0.036883167401239945,27.11263892065793
constant_-0.1,0,fp64,34,-0.1,-3.4000000000000017,0.033373269960326024,29.964100047397064
constant_-0.1,0,fp64,35,-0.1,-3.5000000000000018,0.030197383422318445,33.115451958692375
constant_-0.1,0,fp64,36,-0.1,-3.600000000000002,0.02732372244729251,36.59823444367806
constant_-0.1,0,fp64,37,-0.1,-3.700000000000002,0.024723526470339343,40.44730436006747
constant_-0.1,0,fp64,38,-0.1,-3.800000000000002,0.02237077185616555,44.701184493300914
constant_-0.1,0,fp64,39,-0.1,-3.900000000000002,0.020241911445804346,49.40244910553028
constant_-0.1,0,fp64,40,-0.1,-4.000000000000002,0.018315638888734147,54.598150033144336
constant_-0.1,0,fp64,41,-0.1,-4.100000000000001,0.016572675401761224,60.34028759736206
constant_-0.1,0,fp64,42,-0.1,-4.200000000000001,0.014995576820477691,66.68633104092521
constant_-0.1,0,fp64,43,-0.1,-4.300000000000001,0.013568559012200922,73.69979369959584
constant_-0.1,0,fp64,44,-0.1,-4.4,0.012277339903068436,81.45086866496814
constant_-0.1,0,fp64,45,-0.1,-4.5,0.011108996538242306,90.01713130052181
constant_-0.1,0,fp64,46,-0.1,-4.6,0.010051835744633586,99.48431564193378
constant_-0.1,0,fp64,47,-0.1,-4.699999999999999,0.009095277101695824,109.94717245212343
constant_-0.1,0,fp64,48,-0.1,-4.799999999999999,0.008229747049020037,121.51041751873476
constant_-0.1,0,fp64,49,-0.1,-4.899999999999999,0.007446583070924351,134.2897796849353
constant_-0.1,0,fp64,50,-0.1,-4.999999999999998,0.006737946999085479,148.41315910257634
constant_-0.1,0,fp64,51,-0.1,-5.099999999999998,0.006096746565515649,164.0219072999014
constant_-0.1,0,fp64,52,-0.1,-5.1999999999999975,0.005516564420760786,181.27224187515074
constant_-0.1,0,fp64,53,-0.1,-5.299999999999997,0.00499159390691023,200.33680997479112
constant_-0.1,0,fp64,54,-0.1,-5.399999999999997,0.004516580942612682,221.40641620418637
constant_-0.1,0,fp64,55,-0.1,-5.4999999999999964,0.004086771438464081,244.69193226421953
constant_-0.1,0,fp64,56,-0.1,-5.599999999999996,0.0036978637164829455,270.42640742615157
constant_-0.1,0,fp64,57,-0.1,-5.699999999999996,0.003345965457471287,298.867400967059
constant_-0.1,0,fp64,58,-0.1,-5.799999999999995,0.0030275547453758288,330.29955990964714
constant_-0.1,0,fp64,59,-0.1,-5.899999999999995,0.0027394448187683827,365.03746786532696
constant_-0.1,0,fp64,60,-0.1,-5.999999999999995,0.0024787521766663715,403.42879349273295
constant_-0.1,0,fp64,61,-0.1,-6.099999999999994,0.002242867719485815,445.8577700825144
constant_-0.1,0,fp64,62,-0.1,-6.199999999999994,0.0020294306362957466,492.74904109325325
constant_-0.1,0,fp64,63,-0.1,-6.299999999999994,0.0018363047770289186,544.5719101259256
constant_-0.1,0,fp64,64,-0.1,-6.399999999999993,0.0016615572731739456,601.845037872078
constant_-0.1,0,fp32,1,-0.1,-0.10000000149011612,0.904837429523468,1.1051709651947021
constant_-0.1,0,fp32,2,-0.1,-0.20000000298023224,0.8187307715415955,1.2214027643203735
constant_-0.1,0,fp32,3,-0.1,-0.30000001192092896,0.740818202495575,1.3498588800430298
constant_-0.1,0,fp32,4,-0.1,-0.4000000059604645,0.6703200340270996,1.491824746131897
constant_-0.1,0,fp32,5,-0.1,-0.5,0.6065306663513184,1.6487212181091309
constant_-0.1,0,fp32,6,-0.1,-0.6000000238418579,0.5488116145133972,1.822118878364563
constant_-0.1,0,fp32,7,-0.1,-0.7000000476837158,0.49658527970314026,2.0137526988983154
constant_-0.1,0,fp32,8,-0.1,-0.8000000715255737,0.4493289291858673,2.225541114807129
constant_-0.1,0,fp32,9,-0.1,-0.9000000953674316,0.40656962990760803,2.4596033096313477
constant_-0.1,0,fp32,10,-0.1,-1.0000001192092896,0.36787939071655273,2.7182822227478027
constant_-0.1,0,fp32,11,-0.1,-1.1000001430511475,0.33287104964256287,3.0041663646698
constant_-0.1,0,fp32,12,-0.1,-1.2000001668930054,0.3011941611766815,3.320117473602295
constant_-0.1,0,fp32,13,-0.1,-1.3000001907348633,0.27253174781799316,3.669297456741333
constant_-0.1,0,fp32,14,-0.1,-1.4000002145767212,0.24659691751003265,4.055201053619385
constant_-0.1,0,fp32,15,-0.1,-1.500000238418579,0.22313010692596436,4.481689929962158
constant_-0.1,0,fp32,16,-0.1,-1.600000262260437,0.20189645886421204,4.953033924102783
constant_-0.1,0,fp32,17,-0.1,-1.700000286102295,0.18268346786499023,5.473948955535889
constant_-0.1,0,fp32,18,-0.1,-1.8000003099441528,0.16529883444309235,6.049649238586426
constant_-0.1,0,fp32,19,-0.1,-1.9000003337860107,0.149568572640419,6.685896873474121
constant_-0.1,0,fp32,20,-0.1,-2.000000238418579,0.13533525168895721,7.389057636260986
constant_-0.1,0,fp32,21,-0.1,-2.1000001430511475,0.12245640903711319,8.166171073913574
constant_-0.1,0,fp32,22,-0.1,-2.200000047683716,0.11080314964056015,9.02501392364502
constant_-0.1,0,fp32,23,-0.1,-2.299999952316284,0.10025884956121445,9.97418212890625
constant_-0.1,0,fp32,24,-0.1,-2.3999998569488525,0.09071796387434006,11.023175239562988
constant_-0.1,0,fp32,25,-0.1,-2.499999761581421,0.082085020840168,12.182491302490234
constant_-0.1,0,fp32,26,-0.1,-2.5999996662139893,0.07427360117435455,13.463733673095703
constant_-0.1,0,fp32,27,-0.1,-2.6999995708465576,0.06720554083585739,14.879725456237793
constant_-0.1,0,fp32,28,-0.1,-2.799999475479126,0.06081009283661842,16.444637298583984
constant_-0.1,0,fp32,29,-0.1,-2.8999993801116943,0.055023252964019775,18.17413330078125
constant_-0.1,0,fp32,30,-0.1,-2.9999992847442627,0.04978710412979126,20.085521697998047
constant_-0.1,0,fp32,31,-0.1,-3.099999189376831,0.045049238950014114,22.197933197021484
constant_-0.1,0,fp32,32,-0.1,-3.1999990940093994,0.040762241929769516,24.532508850097656
constant_-0.1,0,fp32,33,-0.1,-3.2999989986419678,0.03688320517539978,27.112611770629883
constant_-0.1,0,fp32,34,-0.1,-3.399998903274536,0.033373307436704636,29.964067459106445
constant_-0.1,0,fp32,35,-0.1,-3.4999988079071045,0.030197419226169586,33.115413665771484
constant_-0.1,0,fp32,36,-0.1,-3.599998712539673,0.027323758229613304,36.59818649291992
constant_-0.1,0,fp32,37,-0.1,-3.699998617172241,0.024723561480641365,40.44724655151367
constant_-0.1,0,fp32,38,-0.1,-3.7999985218048096,0.022370804101228714,44.70111846923828
constant_-0.1,0,fp32,39,-0.1,-3.899998426437378,0.02024194411933422,49.40237045288086
constant_-0.1,0,fp32,40,-0.1,-3.9999983310699463,0.018315669149160385,54.598060607910156
constant_-0.1,0,fp32,41,-0.1,-4.099998474121094,0.016572700813412666,60.34019470214844
constant_-0.1,0,fp32,42,-0.1,-4.199998378753662,0.014995601028203964,66.68622589111328
constant_-0.1,0,fp32,43,-0.1,-4.2999982833862305,0.013568582013249397,73.69966888427734
constant_-0.1,0,fp32,44,-0.1,-4.399998188018799,0.012277361936867237,81.45072174072266
constant_-0.1,0,fp32,45,-0.1,-4.499998092651367,0.01110901776701212,90.01696014404297
constant_-0.1,0,fp32,46,-0.1,-4.5999979972839355,0.010051855817437172,99.48411560058594
constant_-0.1,0,fp32,47,-0.1,-4.699997901916504,0.009095296263694763,109.94694519042969
constant_-0.1,0,fp32,48,-0.1,-4.799997806549072,0.008229765109717846,121.51014709472656
constant_-0.1,0,fp32,49,-0.1,-4.899997711181641,0.007446600124239922,134.2894744873047
constant_-0.1,0,fp32,50,-0.1,-4.999997615814209,0.006737963296473026,148.41281127929688
constant_-0.1,0,fp32,51,-0.1,-5.099997520446777,0.0060967616736888885,164.02149963378906
constant_-0.1,0,fp32,52,-0.1,-5.199997425079346,0.005516578443348408,181.2717742919922
constant_-0.1,0,fp32,53,-0.1,-5.299997329711914,0.004991607274860144,200.33627319335938
constant_-0.1,0,fp32,54,-0.1,-5.399997234344482,0.004516593646258116,221.4058074951172
constant_-0.1,0,fp32,55,-0.1,-5.499997138977051,0.004086783155798912,244.6912384033203
constant_-0.1,0,fp32,56,-0.1,-5.599997043609619,0.0036978747230023146,270.42559814453125
constant_-0.1,0,fp32,57,-0.1,-5.6999969482421875,0.0033459756523370743,298.8664855957031
constant_-0.1,0,fp32,58,-0.1,-5.799996852874756,0.0030275643803179264,330.29852294921875
constant_-0.1,0,fp32,59,-0.1,-5.899996757507324,0.002739453688263893,365.0362854003906
