case,cache,stage,metric,unit,value
h12_n1,cold,k1,launch__occupancy_limit_blocks,block,32
h12_n1,cold,k1,launch__occupancy_limit_registers,block,8
h12_n1,cold,k1,launch__occupancy_limit_shared_mem,block,9
h12_n1,cold,k1,launch__occupancy_limit_warps,block,8
h12_n1,cold,k1,launch__occupancy_per_barrier_count,,1440
h12_n1,cold,k1,launch__occupancy_per_block_size,,3339
h12_n1,cold,k1,launch__occupancy_per_cluster_size,,0
h12_n1,cold,k1,launch__occupancy_per_register_count,,5504
h12_n1,cold,k1,launch__occupancy_per_shared_mem_size,,9072
h12_n1,cold,k1,launch__persisting_l2_cache_size,byte,24870912
h12_n1,cold,k1,launch__preferred_cluster_dim_x,,0
h12_n1,cold,k1,launch__preferred_cluster_dim_y,,0
h12_n1,cold,k1,launch__preferred_cluster_dim_z,,0
h12_n1,cold,k1,launch__preferred_cluster_size,,0
h12_n1,cold,k1,launch__registers_per_thread,register/thread,32
h12_n1,cold,k1,launch__registers_per_thread_allocated,register/thread,32
h12_n1,cold,k1,launch__shared_mem_config_size,byte,200704
h12_n1,cold,k1,launch__shared_mem_per_block,byte/block,22272
h12_n1,cold,k1,launch__shared_mem_per_block_allocated,byte/block,22272
h12_n1,cold,k1,launch__shared_mem_per_block_driver,byte/block,1024
h12_n1,cold,k1,launch__shared_mem_per_block_dynamic,byte/block,21248
h12_n1,cold,k1,launch__shared_mem_per_block_static,byte/block,0
h12_n1,cold,k1,launch__sm_count,SM,148
h12_n1,cold,k1,launch__stack_size,,1024
h12_n1,cold,k1,launch__stream_id,,7
h12_n1,cold,k1,launch__thread_count,thread,1572864
h12_n1,cold,k1,launch__tpc_count,,74
h12_n1,cold,k1,launch__tpc_enabled,,all
h12_n1,cold,k1,launch__uses_cdp,,0
h12_n1,cold,k1,launch__uses_green_context,,0
h12_n1,cold,k1,launch__uses_mps,,0
h12_n1,cold,k1,launch__uses_nvlink_centric_scheduling,,0
h12_n1,cold,k1,launch__uses_vgpu,,0
h12_n1,cold,k1,launch__waves_per_multiprocessor,,5.19
h12_n1,cold,k1,lts__t_sector_hit_rate.pct,%,44.91
h12_n1,cold,k1,lts__t_sectors.avg,sector,62419.76
h12_n1,cold,k1,lts__t_sectors.max,sector,67445
h12_n1,cold,k1,lts__t_sectors.min,sector,30318
h12_n1,cold,k1,lts__t_sectors.sum,sector,11485235
h12_n1,cold,k1,lts__throughput.avg.pct_of_peak_sustained_elapsed,%,58.20
