input,chunk,token,prefix_log2,exp_fp32,inverse_fp32,decay,inverse
2,64,7,-10.0988646,0.00091188238,1096.63269,0.000911712646,1096
2,64,8,-11.5415592,0.000335462857,2980.95581,0.000335693359,2976
2,64,9,-12.9842539,0.000123409918,8103.07568,0.000123023987,8096
2,64,10,-14.4269485,4.53999855e-05,22026.4395,4.529953e-05,22016
2,64,11,-15.8696432,1.67017261e-05,59874.0508,1.66893005e-05,59904
2,64,12,-17.3123379,6.14422333e-06,162754.516,6.13927841e-06,162816
2,64,13,-18.7550335,2.26033262e-06,442412.781,2.2649765e-06,442368
2,64,14,-20.1977291,8.31529519e-07,1202603.12,8.30739737e-07,1204224
2,64,15,-21.6404247,3.05902489e-07,3269015.5,3.05473804e-07,3276800
2,64,16,-23.0831203,1.12535197e-07,8886109,1.12690032e-07,8912896
2,64,17,-24.525816,4.13993675e-08,24154958,4.14438546e-08,24117248
2,64,18,-25.9685116,1.52299702e-08,65660008,1.52504072e-08,65536000
2,64,19,-27.4112072,5.60279068e-09,178482480,5.61703928e-09,178257920
2,64,20,-28.8539028,2.06115058e-09,485165888,2.06637196e-09,484442112
2,64,21,-30.2965984,7.58254626e-10,1.31881818e+09,7.56699592e-10,1.31701146e+09
2,64,22,-31.7392941,2.78946172e-10,3.58492083e+09,2.78305379e-10,3.59032422e+09
2,64,23,-33.1819878,1.02618657e-10,9.74481613e+09,1.02772901e-10,9.73078528e+09
2,64,24,-34.6246834,3.77512813e-11,2.64891658e+10,3.77440301e-11,2.64408924e+10
2,64,25,-36.067379,1.38879143e-11,7.20050504e+10,1.38697942e-11,7.19407022e+10
2,64,26,-37.5100746,5.10907636e-12,1.95730096e+11,5.1159077e-12,1.95421012e+11
2,64,27,-38.9527702,1.87952323e-12,5.32049789e+11,1.87583282e-12,5.32575945e+11
2,64,28,-40.3954659,6.91437738e-13,1.44626182e+12,6.92779167e-13,1.44310901e+12
2,64,29,-41.8381615,2.5436562e-13,3.93134893e+12,2.54019028e-13,3.93419004e+12
2,64,30,-43.2808571,9.35758429e-14,1.06865183e+13,9.37028233e-14,1.07202384e+13
2,64,31,-44.7235527,3.4424615e-14,2.90489798e+13,3.44169138e-14,2.89996192e+13
2,64,32,-46.1662483,1.26641031e-14,7.89633512e+13,1.26565425e-14,7.91648372e+13
2,64,33,-47.6089439,4.6588612e-15,2.14644715e+14,4.6629367e-15,2.14404767e+14
2,64,34,-49.0516396,1.71389864e-15,5.83465066e+14,1.71390679e-15,5.84940186e+14
2,64,35,-50.4943352,6.30507821e-16,1.58602311e+15,6.31439345e-16,1.58329674e+15
2,64,36,-51.9370308,2.31950788e-16,4.31125945e+15,2.32452946e-16,4.31008558e+15
2,64,37,-53.3797264,8.53298873e-17,1.17192231e+16,8.54351312e-17,1.17515803e+16
2,64,38,-54.822422,3.13910973e-17,3.18561633e+16,3.1441863e-17,3.18066724e+16
2,64,39,-56.2651176,1.15481354e-17,8.65940655e+16,1.15467531e-17,8.66942928e+16
2,64,40,-57.7078133,4.2483198e-18,2.3538716e+17,4.25549353e-18,2.35313081e+17
2,64,41,-59.1505089,1.56286885e-18,6.39848903e+17,1.56531689e-18,6.39511147e+17
2,64,42,-60.5932045,5.74947084e-19,1.73929037e+18,5.75982404e-19,1.73838946e+18
2,64,43,-62.0359001,2.1151113e-19,4.72788351e+18,2.11758237e-19,4.71977241e+18
2,64,44,-63.4785957,7.78105667e-20,1.28517241e+19,7.79270311e-20,1.28262517e+19
2,64,45,-64.9212875,2.86249728e-20,3.49345301e+19,2.8587362e-20,3.48758755e+19
2,64,46,-66.3639832,1.05305343e-20,9.4961943e+19,1.05349723e-20,9.51160241e+19
2,64,47,-67.8066788,3.8739655e-21,2.58133418e+20,3.86458782e-21,2.58254417e+20
2,64,48,-69.2493744,1.42515172e-21,7.01679681e+20,1.42275065e-21,7.00976275e+20
2,64,49,-70.69207,5.24283824e-22,1.90736381e+21,5.22778147e-22,1.90923801e+21
2,64,50,-72.1347656,1.92873159e-22,5.18475443e+21,1.92733083e-22,5.20198183e+21
