gate_case,seed,chunk,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count,model_zero_mask_mismatches,model_inf_mask_mismatches,model_nan_mask_mismatches,model_finite_max_abs_difference
mixed,1,64,inverse,0,0,0,0,,,1.0078125,884998144.0,2078356.9267812967,0.0020071670342403946,64,0,0,0,0.0
mixed,1,64,direct,0,0,0,0,,,1.1423253454267979e-09,1.0,0.0019157502250392033,0.0012547597388496568,2080,0,0,0,0.0
mixed,1,64,factorized,0,0,0,0,,,1.1365841601218563e-09,1.0052490234375,0.0052490234375,0.0022613934759889535,2080,0,0,0,0.0
uniform,2,16,decay,0,0,0,0,,,2.896852679609707e-19,0.01019287109375,1.7685709457425022e-05,0.0017598805199120018,16,0,0,0,0.0
uniform,2,16,inverse,0,0,0,0,,,98.5,3.440750115311059e+18,7435566313330688.0,0.0021321416858157962,16,0,0,0,0.0
uniform,2,16,direct,0,0,0,0,,,2.8406096919120216e-17,1.0,0.0012292304999460546,0.000425478035650047,136,0,0,0,0.0
uniform,2,16,factorized,0,0,0,0,,,2.8533998894155616e-17,1.003997802734375,0.005126953125,0.0023354471630442396,136,0,0,0,0.0
uniform,2,32,decay,0,0,0,0,,,5.604757064720667e-35,0.01019287109375,1.7685709457425022e-05,0.0017598805199120018,32,0,0,0,0.0
uniform,2,32,inverse,0,0,0,0,,,98.5,1.784852045121347e+34,1.1471201449396913e+31,0.0006456125524211135,32,0,0,0,0.0
uniform,2,32,direct,0,0,0,0,,,5.5129744658084626e-33,1.0,0.0012292304999460546,0.0004886052574157784,528,0,0,0,0.0
uniform,2,32,factorized,0,0,0,0,,,5.520685708749857e-33,1.0040283203125,0.005126953125,0.0021503951035387915,528,0,0,0,0.0
uniform,2,64,decay,29,29,0,0,35,36,0.0,0.01019287109375,1.7685709457425022e-05,0.0017598805199120018,64,0,0,0,0.0
uniform,2,64,inverse,0,0,28,0,36,37,98.5,3.2300240297573456e+38,,,64,0,0,0,0.0
uniform,2,64,direct,342,342,0,0,703,,0.0,1.0,0.0014760407430579603,0.00043363289415447,2080,0,0,0,0.0
uniform,2,64,factorized,1044,1044,0,406,630,,0.0,1.0040283203125,,,2080,0,0,0,0.0
mixed,2,16,decay,0,0,0,0,,,1.2448708730516955e-11,0.006744384765625,6.437766539532999e-06,0.0009557361569880549,16,0,0,0,0.0
mixed,2,16,inverse,0,0,0,0,,,148.0,80530636800.0,155693881.94889832,0.0017889424074579538,16,0,0,0,0.0
mixed,2,16,direct,0,0,0,0,,,1.8480932340025902e-09,1.0,0.0017685839704614237,0.001094737628831243,136,0,0,0,0.0
mixed,2,16,factorized,0,0,0,0,,,1.8424088921165094e-09,1.00439453125,0.00439453125,0.002389970458283161,136,0,0,0,0.0
mixed,2,32,decay,0,0,0,0,,,3.347474207548995e-18,0.006744384765625,6.437766539532999e-06,0.0009557361569880549,32,0,0,0,0.0
mixed,2,32,inverse,0,0,0,0,,,148.0,2.99489375220138e+17,981677751148736.0,0.0018819090742413012,32,0,0,0,0.0
mixed,2,32,direct,0,0,0,0,,,4.961309141293668e-16,1.0,0.0018955744362042504,0.001131861171453384,528,0,0,0,0.0
mixed,2,32,factorized,0,0,0,0,,,4.954261827172513e-16,1.00439453125,0.004945283217038576,0.0022268540426171757,528,0,0,0,0.0
mixed,2,64,decay,0,0,0,0,,,3.549874073494553e-29,0.006744384765625,6.437766539532999e-06,0.0009557361569880549,64,0,0,0,0.0
mixed,2,64,inverse,0,0,0,0,,,148.0,2.81631358937424e+28,6.170513576182162e+25,0.002186076719243456,64,0,0,0,0.0
mixed,2,64,direct,0,0,0,0,,,5.2506581851510546e-27,1.0,0.0018955744362042504,0.0011738173598369833,2080,0,0,0,0.0
mixed,2,64,factorized,0,0,0,0,,,5.2538136287719386e-27,1.00439453125,0.005506614238257379,0.0024105108961366187,2080,0,0,0,0.0
uniform,3,16,decay,0,0,0,0,,,4.3368086899420177e-16,0.84375,0.0005414642917341839,0.0006424196512580747,16,0,0,0,0.0
uniform,3,16,inverse,0,0,0,0,,,1.1875,2304576371818496.0,3276933641988.5,0.0012509872242353816,16,0,0,0,0.0
uniform,3,16,direct,0,0,0,0,,,5.134781488891349e-16,1.0,0.0012942548004386545,0.0005103134791103708,136,0,0,0,0.0
uniform,3,16,factorized,0,0,0,0,,,5.149960319306146e-16,1.001953125,0.0032958984375,0.001698052607781081,136,0,0,0,0.0
uniform,3,32,decay,0,0,0,0,,,3.8518598887744717e-31,0.84375,0.0005414642917341839,0.0006424196512580747,32,0,0,0,0.0
uniform,3,32,inverse,0,0,0,0,,,1.1875,2.594722322342157e+30,6.113500717763763e+27,0.0018561002323651836,32,0,0,0,0.0
