input,chunk,i,j,direct,factorized
0,64,19,2,1,1
0,64,19,3,1,1
0,64,19,4,1,1
0,64,19,5,1,1
0,64,19,6,1,1
0,64,19,7,1,1
0,64,19,8,1,1
0,64,19,9,1,1
0,64,19,10,1,1
0,64,19,11,1,1
0,64,19,12,1,1
0,64,19,13,1,1
0,64,19,14,1,1
0,64,19,15,1,1
0,64,19,16,1,1
0,64,19,17,1,1
0,64,19,18,1,1
0,64,19,19,1,1
0,64,20,1,1,1
0,64,20,2,1,1
0,64,20,3,1,1
0,64,20,4,1,1
0,64,20,5,1,1
0,64,20,6,1,1
0,64,20,7,1,1
0,64,20,8,1,1
0,64,20,9,1,1
0,64,20,10,1,1
0,64,20,11,1,1
0,64,20,12,1,1
0,64,20,13,1,1
0,64,20,14,1,1
0,64,20,15,1,1
0,64,20,16,1,1
0,64,20,17,1,1
0,64,20,18,1,1
0,64,20,19,1,1
0,64,20,20,1,1
0,64,21,1,1,1
0,64,21,2,1,1
0,64,21,3,1,1
0,64,21,4,1,1
0,64,21,5,1,1
0,64,21,6,1,1
0,64,21,7,1,1
0,64,21,8,1,1
0,64,21,9,1,1
0,64,21,10,1,1
0,64,21,11,1,1
0,64,21,12,1,1
0,64,21,13,1,1
0,64,21,14,1,1
0,64,21,15,1,1
0,64,21,16,1,1
0,64,21,17,1,1
0,64,21,18,1,1
0,64,21,19,1,1
0,64,21,20,1,1
0,64,21,21,1,1
0,64,22,1,1,1
0,64,22,2,1,1
0,64,22,3,1,1
0,64,22,4,1,1
0,64,22,5,1,1
0,64,22,6,1,1
0,64,22,7,1,1
0,64,22,8,1,1
0,64,22,9,1,1
0,64,22,10,1,1
0,64,22,11,1,1
0,64,22,12,1,1
0,64,22,13,1,1
0,64,22,14,1,1
0,64,22,15,1,1
0,64,22,16,1,1
0,64,22,17,1,1
0,64,22,18,1,1
0,64,22,19,1,1
0,64,22,20,1,1
0,64,22,21,1,1
0,64,22,22,1,1
0,64,23,1,1,1
0,64,23,2,1,1
0,64,23,3,1,1
0,64,23,4,1,1
0,64,23,5,1,1
0,64,23,6,1,1
0,64,23,7,1,1
0,64,23,8,1,1
0,64,23,9,1,1
0,64,23,10,1,1
0,64,23,11,1,1
0,64,23,12,1,1
0,64,23,13,1,1
0,64,23,14,1,1
0,64,23,15,1,1
0,64,23,16,1,1
0,64,23,17,1,1
0,64,23,18,1,1
0,64,23,19,1,1
0,64,23,20,1,1
0,64,23,21,1,1
0,64,23,22,1,1
0,64,23,23,1,1
0,64,24,1,1,1
0,64,24,2,1,1
0,64,24,3,1,1
0,64,24,4,1,1
0,64,24,5,1,1
0,64,24,6,1,1
0,64,24,7,1,1
0,64,24,8,1,1
0,64,24,9,1,1
0,64,24,10,1,1
0,64,24,11,1,1
0,64,24,12,1,1
0,64,24,13,1,1
0,64,24,14,1,1
0,64,24,15,1,1
0,64,24,16,1,1
0,64,24,17,1,1
0,64,24,18,1,1
0,64,24,19,1,1
0,64,24,20,1,1
0,64,24,21,1,1
0,64,24,22,1,1
0,64,24,23,1,1
0,64,24,24,1,1
0,64,25,1,1,1
0,64,25,2,1,1
0,64,25,3,1,1
0,64,25,4,1,1
0,64,25,5,1,1
0,64,25,6,1,1
0,64,25,7,1,1
0,64,25,8,1,1
0,64,25,9,1,1
0,64,25,10,1,1
0,64,25,11,1,1
0,64,25,12,1,1
0,64,25,13,1,1
0,64,25,14,1,1
0,64,25,15,1,1
0,64,25,16,1,1
0,64,25,17,1,1
0,64,25,18,1,1
0,64,25,19,1,1
0,64,25,20,1,1
0,64,25,21,1,1
0,64,25,22,1,1
0,64,25,23,1,1
0,64,25,24,1,1
0,64,25,25,1,1
0,64,26,1,1,1
0,64,26,2,1,1
0,64,26,3,1,1
0,64,26,4,1,1
0,64,26,5,1,1
0,64,26,6,1,1
0,64,26,7,1,1
0,64,26,8,1,1
0,64,26,9,1,1
0,64,26,10,1,1
0,64,26,11,1,1
0,64,26,12,1,1
0,64,26,13,1,1
0,64,26,14,1,1
0,64,26,15,1,1
0,64,26,16,1,1
0,64,26,17,1,1
0,64,26,18,1,1
0,64,26,19,1,1
0,64,26,20,1,1
0,64,26,21,1,1
0,64,26,22,1,1
0,64,26,23,1,1
0,64,26,24,1,1
0,64,26,25,1,1
0,64,26,26,1,1
0,64,27,1,1,1
0,64,27,2,1,1
0,64,27,3,1,1
0,64,27,4,1,1
0,64,27,5,1,1
0,64,27,6,1,1
0,64,27,7,1,1
0,64,27,8,1,1
0,64,27,9,1,1
0,64,27,10,1,1
0,64,27,11,1,1
0,64,27,12,1,1
0,64,27,13,1,1
0,64,27,14,1,1
0,64,27,15,1,1
0,64,27,16,1,1
0,64,27,17,1,1
0,64,27,18,1,1
