shape,m,n,k,batch,repeats,method,round,median_us,min_us,max_us,us_per_gemm
gram,16,16,128,96,32,tc_transpose,3,22.911999622980755,22.84053365389506,22.9802668094635,0.7159999882181486
gram,16,16,128,96,32,sm80_transpose_w4,3,23.114667336146038,23.046400149663288,23.12320073445638,0.7223333542545637
gram,16,16,128,96,32,sm80_w4,3,23.065600792566936,23.050665855407715,23.074134190877277,0.7208000247677168
gram,16,16,128,96,32,sm80_w1,3,23.58400026957194,23.51573308308919,23.613866170247395,0.7370000084241232
gram,16,16,128,96,32,sm80_w8,4,18.752000729242962,18.743467330932617,18.883200486501057,0.5860000227888426
gram,16,16,128,96,32,sm80_pad_w4,4,23.7226665019989,23.67039918899536,23.730132977167766,0.7413333281874657
gram,16,16,128,96,32,tc_direct,4,23.411200443903606,23.37813377380371,23.462400833765667,0.7316000138719877
gram,16,16,128,96,32,sm80_w4,4,23.05919925371806,23.057067394256592,23.06666572888692,0.7205999766786894
gram,16,16,128,96,32,sm80_transpose_w4,4,23.102933168411255,23.065600792566936,23.11999996503194,0.7219666615128517
gram,16,16,128,96,32,sm80_w1,4,23.5424002011617,23.51573308308919,23.59679937362671,0.7357000062863032
gram,16,16,128,96,32,tc_transpose,4,22.899200518925984,22.862933079401653,22.924800713857014,0.715600016216437
gram,16,16,128,6144,1,tc_direct,0,88.08426856994629,88.04480234781902,88.11413447062175,88.08426856994629
gram,16,16,128,6144,1,tc_transpose,0,80.57493368784587,80.50560156504314,80.69653511047363,80.57493368784587
gram,16,16,128,6144,1,sm80_w1,0,34.80426470438639,34.710399309794106,34.80960130691528,34.80426470438639
gram,16,16,128,6144,1,sm80_pad_w4,0,85.6928030649821,85.57333151499431,85.77813307444255,85.6928030649821
gram,16,16,128,6144,1,sm80_w8,0,79.15093104044597,79.0613333384196,79.3397347132365,79.15093104044597
gram,16,16,128,6144,1,sm80_w4,0,70.82026799519856,70.79359690348308,70.86079915364583,70.82026799519856
gram,16,16,128,6144,1,sm80_transpose_w4,0,71.2106704711914,71.06560071309407,71.33119901021321,71.2106704711914
gram,16,16,128,6144,1,sm80_w1,1,34.80106592178345,34.76800123850504,34.860801696777344,34.80106592178345
gram,16,16,128,6144,1,sm80_transpose_w4,1,71.20959758758545,71.09546661376953,71.30346298217773,71.20959758758545
gram,16,16,128,6144,1,sm80_w4,1,70.8725372950236,70.72959740956624,70.88639736175537,70.8725372950236
gram,16,16,128,6144,1,tc_transpose,1,80.51839669545491,80.44906457265218,80.58133125305176,80.51839669545491
gram,16,16,128,6144,1,sm80_pad_w4,1,85.68106492360432,85.65013408660889,85.77280044555664,85.68106492360432
gram,16,16,128,6144,1,sm80_w8,1,79.1424036026001,79.08906936645508,79.25653457641602,79.1424036026001
gram,16,16,128,6144,1,tc_direct,1,88.101331392924,88.08639844258626,88.18666934967041,88.101331392924
gram,16,16,128,6144,1,sm80_w8,2,79.07626628875732,79.06986872355144,79.14773623148601,79.07626628875732
gram,16,16,128,6144,1,sm80_pad_w4,2,85.64053376515706,85.56053638458252,85.68639755249023,85.64053376515706
gram,16,16,128,6144,1,sm80_transpose_w4,2,71.23093605041504,71.17973168690999,71.36639753977458,71.23093605041504
gram,16,16,128,6144,1,tc_transpose,2,80.56960105895996,80.50666650136311,80.6495984395345,80.56960105895996
gram,16,16,128,6144,1,tc_direct,2,88.09386889139812,88.08746337890625,88.17066351572673,88.09386889139812
gram,16,16,128,6144,1,sm80_w4,2,70.82346280415852,70.74240048726399,70.8896001180013,70.82346280415852
gram,16,16,128,6144,1,sm80_w1,2,34.740265210469566,34.73493258158366,34.87253189086914,34.740265210469566
gram,16,16,128,6144,1,sm80_pad_w4,3,85.63626607259114,85.5679988861084,85.70026556650798,85.63626607259114
gram,16,16,128,6144,1,sm80_w8,3,79.08586661020915,79.06986872355144,79.15840148925781,79.08586661020915
gram,16,16,128,6144,1,sm80_w1,3,34.78933175404867,34.713598092397056,34.79146560033163,34.78933175404867
gram,16,16,128,6144,1,tc_direct,3,88.03839683532715,87.96160221099854,88.07466824849446,88.03839683532715
gram,16,16,128,6144,1,sm80_w4,3,70.94933191935222,70.69973150889079,70.9760030110677,70.94933191935222
gram,16,16,128,6144,1,tc_transpose,3,80.05332946777344,79.966934521993,80.18453121185303,80.05332946777344
gram,16,16,128,6144,1,sm80_transpose_w4,3,71.30133310953777,71.09333674112956,71.44532998402913,71.30133310953777
gram,16,16,128,6144,1,sm80_pad_w4,4,85.698135693868,85.57439645131429,85.70240338643391,85.698135693868
gram,16,16,128,6144,1,sm80_w8,4,79.16266918182373,79.12533283233643,79.19893264770508,79.16266918182373
gram,16,16,128,6144,1,sm80_transpose_w4,4,71.23520374298096,71.11252943674724,71.30560080210368,71.23520374298096
gram,16,16,128,6144,1,sm80_w4,4,70.76266606648763,70.75733343760173,70.89920043945312,70.76266606648763
gram,16,16,128,6144,1,sm80_w1,4,34.78933175404867,34.71680084864298,34.843734900156655,34.78933175404867
gram,16,16,128,6144,1,tc_transpose,4,80.37760257720947,80.33066590627034,80.38506507873535,80.37760257720947
gram,16,16,128,6144,1,tc_direct,4,88.07893594106038,88.02986939748128,88.11840216318767,88.07893594106038
gram,16,16,128,49152,1,sm80_transpose_w4,0,1079.1520436604817,1078.8074493408203,1079.3941497802734,1079.1520436604817
gram,16,16,128,49152,1,tc_direct,0,952.6816050211588,952.5856018066406,952.6954650878906,952.6816050211588
gram,16,16,128,49152,1,sm80_pad_w4,0,1131.1691284179688,1131.0965220133464,1131.1925252278645,1131.1691284179688
