case,stage,metric,unit,value
h96_n1,k2,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,%,25.84
h96_n1,k2,l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed,%,39.83
h96_n1,k2,l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed,%,25.84
h96_n1,k2,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,%,10.81
h96_n1,k2,l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed,%,16.66
h96_n1,k2,l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed,%,10.81
h96_n1,k2,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,22.01
h96_n1,k2,l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,33.93
h96_n1,k2,l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
h96_n1,k2,l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,22.01
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,%,6.52
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed,%,10.05
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed,%,6.52
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__t_sector_hit_rate.pct,%,0
h96_n1,k2,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.02
h96_n1,k2,l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,0.04
h96_n1,k2,l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
h96_n1,k2,l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.02
h96_n1,k2,l1tex__tmain_requests.avg.pct_of_peak_sustained_elapsed,%,2.04
h96_n1,k2,l1tex__tmain_requests.max.pct_of_peak_sustained_elapsed,%,3.15
h96_n1,k2,l1tex__tmain_requests.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed,%,2.04
h96_n1,k2,launch__barrier_count,,9
h96_n1,k2,launch__block_dim_x,block,192
h96_n1,k2,launch__block_dim_y,block,1
h96_n1,k2,launch__block_dim_z,block,1
h96_n1,k2,launch__block_size,,192
h96_n1,k2,launch__cluster_dim_x,,0
h96_n1,k2,launch__cluster_dim_y,,0
h96_n1,k2,launch__cluster_dim_z,,0
h96_n1,k2,launch__cluster_max_active,cluster,0
h96_n1,k2,launch__cluster_max_potential_size,block,8
h96_n1,k2,launch__cluster_scheduling_policy,,PolicySpread
h96_n1,k2,launch__cluster_size,,0
h96_n1,k2,launch__context_id,,1
h96_n1,k2,launch__device_id,,0
h96_n1,k2,launch__func_cache_config,,CachePreferNone
h96_n1,k2,launch__function_pcs,,1
h96_n1,k2,launch__grid_dim_x,,1
h96_n1,k2,launch__grid_dim_y,,96
h96_n1,k2,launch__grid_dim_z,,1
h96_n1,k2,launch__grid_size,,96
h96_n1,k2,launch__occupancy_cluster_gpu_pct,%,0
h96_n1,k2,launch__occupancy_cluster_pct,%,0
h96_n1,k2,launch__occupancy_limit_barriers,block,7
h96_n1,k2,launch__occupancy_limit_blocks,block,32
h96_n1,k2,launch__occupancy_limit_registers,block,4
h96_n1,k2,launch__occupancy_limit_shared_mem,block,2
h96_n1,k2,launch__occupancy_limit_warps,block,10
h96_n1,k2,launch__occupancy_per_barrier_count,,588
h96_n1,k2,launch__occupancy_per_block_size,,758
h96_n1,k2,launch__occupancy_per_cluster_size,,0
h96_n1,k2,launch__occupancy_per_register_count,,2556
h96_n1,k2,launch__occupancy_per_shared_mem_size,,5292
h96_n1,k2,launch__persisting_l2_cache_size,byte,24870912
h96_n1,k2,launch__preferred_cluster_dim_x,,0
h96_n1,k2,launch__preferred_cluster_dim_y,,0
h96_n1,k2,launch__preferred_cluster_dim_z,,0
h96_n1,k2,launch__preferred_cluster_size,,0
h96_n1,k2,launch__registers_per_thread,register/thread,73
h96_n1,k2,launch__registers_per_thread_allocated,register/thread,80
h96_n1,k2,launch__shared_mem_config_size,byte,200704
h96_n1,k2,launch__shared_mem_per_block,byte/block,99456
h96_n1,k2,launch__shared_mem_per_block_allocated,byte/block,99456
h96_n1,k2,launch__shared_mem_per_block_driver,byte/block,1024
h96_n1,k2,launch__shared_mem_per_block_dynamic,byte/block,98432
h96_n1,k2,launch__shared_mem_per_block_static,byte/block,0
h96_n1,k2,launch__sm_count,SM,148
h96_n1,k2,launch__stack_size,,1024
h96_n1,k2,launch__stream_id,,7
h96_n1,k2,launch__thread_count,thread,18432
h96_n1,k2,launch__tpc_count,,74
h96_n1,k2,launch__tpc_enabled,,all
h96_n1,k2,launch__uses_cdp,,0
h96_n1,k2,launch__uses_green_context,,0
h96_n1,k2,launch__uses_mps,,0
h96_n1,k2,launch__uses_nvlink_centric_scheduling,,0
h96_n1,k2,launch__uses_vgpu,,0
h96_n1,k2,launch__waves_per_multiprocessor,,0.32
h96_n1,k2,lrc__average_ilc_input_sector_success_rate.pct,%,0
h96_n1,k2,lrc__average_ilc_output_sector_compression_achieved_rate.pct,%,0
h96_n1,k2,lrc__ilc_input_sectors.sum,sector,2113
h96_n1,k2,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_atomic_input_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_atomic_input_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_atomic_input_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_decomp_input_sectors.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_decomp_input_sectors.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_decomp_input_sectors.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_decomp_input_sectors.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,%,8.72
h96_n1,k2,lts__d_sectors.max.pct_of_peak_sustained_elapsed,%,9.26
h96_n1,k2,lts__d_sectors.min.pct_of_peak_sustained_elapsed,%,4.29
h96_n1,k2,lts__d_sectors.sum.pct_of_peak_sustained_elapsed,%,8.72
h96_n1,k2,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,%,7.50
h96_n1,k2,lts__d_sectors_fill_device.max.pct_of_peak_sustained_elapsed,%,7.67
h96_n1,k2,lts__d_sectors_fill_device.min.pct_of_peak_sustained_elapsed,%,3.83
h96_n1,k2,lts__d_sectors_fill_device.sum.pct_of_peak_sustained_elapsed,%,7.50
h96_n1,k2,lts__ltcfabric2lts_cycles_active.avg.pct_of_peak_sustained_elapsed,%,5.44
h96_n1,k2,lts__ltcfabric2lts_cycles_active.max.pct_of_peak_sustained_elapsed,%,5.82
h96_n1,k2,lts__ltcfabric2lts_cycles_active.min.pct_of_peak_sustained_elapsed,%,2.70
h96_n1,k2,lts__ltcfabric2lts_cycles_active.sum.pct_of_peak_sustained_elapsed,%,5.44
h96_n1,k2,lts__lts2xbar_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed,%,6.54
h96_n1,k2,lts__lts2xbar_cycles_active_realtime.max.pct_of_peak_sustained_elapsed,%,7.28
h96_n1,k2,lts__lts2xbar_cycles_active_realtime.min.pct_of_peak_sustained_elapsed,%,3.06
h96_n1,k2,lts__lts2xbar_cycles_active_realtime.sum.pct_of_peak_sustained_elapsed,%,6.54
h96_n1,k2,lts__t_sector_hit_rate.pct,%,51.31
h96_n1,k2,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,%,9.17
h96_n1,k2,lts__t_sectors.max.pct_of_peak_sustained_elapsed,%,9.89
h96_n1,k2,lts__t_sectors.min.pct_of_peak_sustained_elapsed,%,4.46
h96_n1,k2,lts__t_sectors.sum.pct_of_peak_sustained_elapsed,%,9.17
h96_n1,k2,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,%,19.92
h96_n1,k2,lts__t_tag_requests.max.pct_of_peak_sustained_elapsed,%,21.59
h96_n1,k2,lts__t_tag_requests.min.pct_of_peak_sustained_elapsed,%,9.60
h96_n1,k2,lts__t_tag_requests.sum.pct_of_peak_sustained_elapsed,%,19.92
h96_n1,k2,lts__throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,19.92
h96_n1,k2,lts__throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,21.58
h96_n1,k2,lts__throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,9.60
h96_n1,k2,lts__throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,19.92
h96_n1,k2,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed,%,16.28
h96_n1,k2,lts__xbar2lts_cycles_active.max.pct_of_peak_sustained_elapsed,%,18.12
h96_n1,k2,lts__xbar2lts_cycles_active.min.pct_of_peak_sustained_elapsed,%,7.66
h96_n1,k2,lts__xbar2lts_cycles_active.sum.pct_of_peak_sustained_elapsed,%,16.28
h96_n1,k2,numa__cpu_affinity,,1
h96_n1,k2,numa__dev_display_name_all,,1
h96_n1,k2,numa__id_cpu,,1
h96_n1,k2,numa__id_memory,,1
h96_n1,k2,nvlink__bandwidth,,0
h96_n1,k2,nvlink__count_logical,,0
h96_n1,k2,nvlink__count_physical,,0
h96_n1,k2,nvlink__destination_ports,,0
h96_n1,k2,nvlink__dev0Id,,0
h96_n1,k2,nvlink__dev0type,,0
h96_n1,k2,nvlink__dev1Id,,0
h96_n1,k2,nvlink__dev1type,,0
h96_n1,k2,nvlink__dev_display_name_all,,1
h96_n1,k2,nvlink__enabled_mask,,262143
h96_n1,k2,nvlink__is_direct_link,,0
h96_n1,k2,nvlink__is_nvswitch_connected,,0
h96_n1,k2,nvlink__max_count,,18
h96_n1,k2,nvlink__peer_access,,0
h96_n1,k2,nvlink__peer_atomic,,0
h96_n1,k2,nvlink__source_ports,,0
h96_n1,k2,nvlink__system_access,,0
h96_n1,k2,nvlink__system_atomic,,0
h96_n1,k2,profiler__perfworks_session_reuse,,0
h96_n1,k2,profiler__replayer_bytes_mem_accessible.avg,byte,1921438699
h96_n1,k2,profiler__replayer_bytes_mem_accessible.max,byte,1921438699
h96_n1,k2,profiler__replayer_bytes_mem_accessible.min,byte,1921438699
h96_n1,k2,profiler__replayer_bytes_mem_accessible.sum,byte,19214386990
h96_n1,k2,profiler__replayer_bytes_mem_backed_up.avg,byte,1921438699
h96_n1,k2,profiler__replayer_bytes_mem_backed_up.max,byte,1921438699
h96_n1,k2,profiler__replayer_bytes_mem_backed_up.min,byte,1921438699
h96_n1,k2,profiler__replayer_bytes_mem_backed_up.sum,byte,19214386990
h96_n1,k2,profiler__replayer_passes,pass,10
h96_n1,k2,profiler__replayer_passes_type_warmup,pass,0
h96_n1,k2,sass__inst_executed_per_opcode,,173724044
h96_n1,k2,sass__inst_executed_per_opcode_category,,173724044
h96_n1,k2,sass__inst_executed_per_opcode_with_modifier_all,,173724044
h96_n1,k2,sass__inst_executed_per_opcode_with_modifier_selective,,173724044
h96_n1,k2,sass__inst_executed_register_spilling,inst,0
h96_n1,k2,sass__inst_executed_register_spilling_mem_local,byte,no data
h96_n1,k2,sass__inst_executed_register_spilling_mem_shared,byte,no data
h96_n1,k2,sass__inst_executed_register_spilling_op_read,inst,0
h96_n1,k2,sass__inst_executed_register_spilling_op_write,inst,0
h96_n1,k2,sass__thread_inst_executed_per_opcode_category,,0
h96_n1,k2,sass__thread_inst_executed_true_per_opcode,,0
h96_n1,k2,sass__thread_inst_executed_true_per_opcode_with_modifier_all,,0
h96_n1,k2,sass__thread_inst_executed_true_per_opcode_with_modifier_selective,,0
h96_n1,k2,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,%,20.76
h96_n1,k2,sm__inst_executed.max.pct_of_peak_sustained_elapsed,%,32.01
h96_n1,k2,sm__inst_executed.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed.sum.pct_of_peak_sustained_elapsed,%,20.76
h96_n1,k2,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,2.26
h96_n1,k2,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,%,3.49
h96_n1,k2,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,%,2.26
h96_n1,k2,sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed,%,1.41
h96_n1,k2,sm__inst_executed_pipe_cbu_pred_on_any.max.pct_of_peak_sustained_elapsed,%,2.18
h96_n1,k2,sm__inst_executed_pipe_cbu_pred_on_any.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_cbu_pred_on_any.sum.pct_of_peak_sustained_elapsed,%,1.41
h96_n1,k2,sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_ipa.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_ipa.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_ipa.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,%,10.81
h96_n1,k2,sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,%,16.66
h96_n1,k2,sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,%,10.81
h96_n1,k2,sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_tex.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_tex.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_tex.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed,%,1.32
h96_n1,k2,sm__inst_executed_pipe_uniform.max.pct_of_peak_sustained_elapsed,%,2.04
h96_n1,k2,sm__inst_executed_pipe_uniform.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__inst_executed_pipe_uniform.sum.pct_of_peak_sustained_elapsed,%,1.32
h96_n1,k2,sm__instruction_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__instruction_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__instruction_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__instruction_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,20.81
h96_n1,k2,sm__issue_active.max.pct_of_peak_sustained_elapsed,%,32.08
h96_n1,k2,sm__issue_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__issue_active.sum.pct_of_peak_sustained_elapsed,%,20.81
h96_n1,k2,sm__maximum_warps_avg_per_active_cycle,warp,12
h96_n1,k2,sm__maximum_warps_per_active_cycle_pct,%,18.75
h96_n1,k2,sm__mem_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mem_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mem_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mem_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__memory_throughput.avg.pct_of_peak_sustained_elapsed,%,10.81
h96_n1,k2,sm__memory_throughput.max.pct_of_peak_sustained_elapsed,%,16.66
h96_n1,k2,sm__memory_throughput.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__memory_throughput.sum.pct_of_peak_sustained_elapsed,%,10.81
h96_n1,k2,sm__memory_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0.09
h96_n1,k2,sm__memory_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0.15
h96_n1,k2,sm__memory_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__memory_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,0.09
h96_n1,k2,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,%,6.49
h96_n1,k2,sm__mio2rf_writeback_active.max.pct_of_peak_sustained_elapsed,%,10.01
h96_n1,k2,sm__mio2rf_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mio2rf_writeback_active.sum.pct_of_peak_sustained_elapsed,%,6.49
h96_n1,k2,sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed,%,6.99
h96_n1,k2,sm__mio_inst_issued.max.pct_of_peak_sustained_elapsed,%,10.78
h96_n1,k2,sm__mio_inst_issued.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mio_inst_issued.sum.pct_of_peak_sustained_elapsed,%,6.99
h96_n1,k2,sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed,%,9.63
h96_n1,k2,sm__mio_pq_read_cycles_active.max.pct_of_peak_sustained_elapsed,%,14.88
h96_n1,k2,sm__mio_pq_read_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mio_pq_read_cycles_active.sum.pct_of_peak_sustained_elapsed,%,9.63
h96_n1,k2,sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed,%,9.63
h96_n1,k2,sm__mio_pq_write_cycles_active.max.pct_of_peak_sustained_elapsed,%,14.88
h96_n1,k2,sm__mio_pq_write_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__mio_pq_write_cycles_active.sum.pct_of_peak_sustained_elapsed,%,9.63
h96_n1,k2,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,%,13.71
h96_n1,k2,sm__pipe_alu_cycles_active.max.pct_of_peak_sustained_elapsed,%,21.14
h96_n1,k2,sm__pipe_alu_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_alu_cycles_active.sum.pct_of_peak_sustained_elapsed,%,13.71
h96_n1,k2,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,%,6.30
h96_n1,k2,sm__pipe_fma_cycles_active.max.pct_of_peak_sustained_elapsed,%,9.71
h96_n1,k2,sm__pipe_fma_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_fma_cycles_active.sum.pct_of_peak_sustained_elapsed,%,6.30
h96_n1,k2,sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed,%,7.04
h96_n1,k2,sm__pipe_fmaheavy_cycles_active.max.pct_of_peak_sustained_elapsed,%,10.87
h96_n1,k2,sm__pipe_fmaheavy_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_fmaheavy_cycles_active.sum.pct_of_peak_sustained_elapsed,%,7.04
h96_n1,k2,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_fp64_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_fp64_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_fp64_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tc_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tc_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tc_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,19.54
h96_n1,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,30.13
h96_n1,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,19.54
h96_n1,k2,sm__pipe_tma_cycles_active.avg.pct_of_peak_sustained_elapsed,%,4.07
h96_n1,k2,sm__pipe_tma_cycles_active.max.pct_of_peak_sustained_elapsed,%,6.27
h96_n1,k2,sm__pipe_tma_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_tma_cycles_active.sum.pct_of_peak_sustained_elapsed,%,4.07
h96_n1,k2,sm__pipe_xu_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.38
h96_n1,k2,sm__pipe_xu_cycles_active.max.pct_of_peak_sustained_elapsed,%,0.58
h96_n1,k2,sm__pipe_xu_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,sm__pipe_xu_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.38
h96_n1,k2,smsp__maximum_warps_avg_per_active_cycle,warp,3
h96_n8,k1,c2clink__enabled_mask,,0
h96_n8,k1,c2clink__present,,0
h96_n8,k1,derived__local_spilling_requests,,0
h96_n8,k1,derived__local_spilling_requests_pct,%,no data
h96_n8,k1,device__attribute_architecture,,416
h96_n8,k1,device__attribute_async_engine_count,,4
h96_n8,k1,device__attribute_can_flush_remote_writes,,0
h96_n8,k1,device__attribute_can_map_host_memory,,1
h96_n8,k1,device__attribute_can_tex2d_gather,,1
h96_n8,k1,device__attribute_can_use_64_bit_stream_mem_ops,,1
h96_n8,k1,device__attribute_can_use_64_bit_stream_mem_ops_v1,,0
h96_n8,k1,device__attribute_can_use_host_pointer_for_registered_mem,,1
h96_n8,k1,device__attribute_can_use_stream_mem_ops_v1,,0
h96_n8,k1,device__attribute_can_use_stream_wait_value_nor,,1
h96_n8,k1,device__attribute_can_use_stream_wait_value_nor_v1,,0
h96_n8,k1,device__attribute_chip,,419
h96_n8,k1,device__attribute_clock_rate,,2032000
h96_n8,k1,device__attribute_cluster_launch,,1
h96_n8,k1,device__attribute_compute_capability_major,,10
h96_n8,k1,device__attribute_compute_capability_minor,,3
h96_n8,k1,device__attribute_compute_mode,,0
h96_n8,k1,device__attribute_compute_preemption_supported,,1
h96_n8,k1,device__attribute_concurrent_kernels,,1
h96_n8,k1,device__attribute_concurrent_managed_access,,1
h96_n8,k1,device__attribute_confidential_computing_mode,,No-CC
h96_n8,k1,device__attribute_cooperative_launch,,1
h96_n8,k1,device__attribute_cooperative_multi_device_launch,,1
h96_n8,k1,device__attribute_deferred_mapping_cuda_array_supported,,1
h96_n8,k1,device__attribute_device_index,,0
h96_n8,k1,device__attribute_direct_managed_mem_access_from_host,,0
h96_n8,k1,device__attribute_display_name,,NVIDIA B300 SXM6 AC
h96_n8,k1,device__attribute_dma_buf_supported,,1
h96_n8,k1,device__attribute_ecc_enabled,,1
h96_n8,k1,device__attribute_fb_bus_width,,7680
h96_n8,k1,device__attribute_fbp_count,,16
h96_n8,k1,device__attribute_generic_compression_supported,,1
h96_n8,k1,device__attribute_global_l1_cache_supported,,1
h96_n8,k1,device__attribute_global_memory_bus_width,,7680
h96_n8,k1,device__attribute_gpu_direct_rdma_flush_writes_options,,1
h96_n8,k1,device__attribute_gpu_direct_rdma_supported,,1
h96_n8,k1,device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,1
h96_n8,k1,device__attribute_gpu_direct_rdma_writes_ordering,,100
h96_n8,k1,device__attribute_gpu_overlap,,1
h96_n8,k1,device__attribute_gpu_pci_device_id,,830607582
h96_n8,k1,device__attribute_gpu_pci_ext_device_id,,12674
h96_n8,k1,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h96_n8,k1,device__attribute_gpu_pci_ext_downstream_link_width,,32
h96_n8,k1,device__attribute_gpu_pci_ext_gen,,5
h96_n8,k1,device__attribute_gpu_pci_ext_gpu_gen,,5
h96_n8,k1,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h96_n8,k1,device__attribute_gpu_pci_ext_gpu_link_width,,16
h96_n8,k1,device__attribute_gpu_pci_revision_id,,161
h96_n8,k1,device__attribute_gpu_pci_sub_system_id,,551948510
h96_n8,k1,device__attribute_handle_type_fabric_supported,,1
h96_n8,k1,device__attribute_handle_type_posix_file_descriptor_supported,,1
h96_n8,k1,device__attribute_handle_type_win32_handle_supported,,0
h96_n8,k1,device__attribute_handle_type_win32_kmt_handle_supported,,0
h96_n8,k1,device__attribute_host_native_atomic_supported,,0
h96_n8,k1,device__attribute_host_numa_id,,0
h96_n8,k1,device__attribute_host_register_supported,,1
h96_n8,k1,device__attribute_implementation,,419
h96_n8,k1,device__attribute_integrated,,0
h96_n8,k1,device__attribute_ipc_event_supported,,1
h96_n8,k1,device__attribute_kernel_exec_timeout,,0
h96_n8,k1,device__attribute_l2_cache_size,,132644864
h96_n8,k1,device__attribute_l2s_count,,192
h96_n8,k1,device__attribute_limits_max_cta_per_sm,,32
h96_n8,k1,device__attribute_limits_num_tpcs,,74
h96_n8,k1,device__attribute_local_l1_cache_supported,,1
h96_n8,k1,device__attribute_managed_memory,,1
h96_n8,k1,device__attribute_max_access_policy_window_size,,134217728
h96_n8,k1,device__attribute_max_block_dim_x,,1024
